"DAY";"OD_PAIR";"PERIOD";"OD_FLOW";"WEEKDAY";"MONTH"
"2017-05-16";"central_northwest";"morning peak";"1177";"Tuesday";5
"2017-05-17";"central_northwest";"morning peak";"1254";"Wednesday";5
"2017-05-18";"central_northwest";"morning peak";"1277";"Thursday";5
"2017-05-19";"central_northwest";"morning peak";"1248";"Friday";5
"2017-05-22";"central_northwest";"morning peak";"1225";"Monday";5
"2017-05-23";"central_northwest";"morning peak";"1209";"Tuesday";5
"2017-05-24";"central_northwest";"morning peak";"1220";"Wednesday";5
"2017-05-25";"central_northwest";"morning peak";"1175";"Thursday";5
"2017-05-26";"central_northwest";"morning peak";"1275";"Friday";5
"2017-05-29";"central_northwest";"morning peak";"977";"Monday";5
"2017-05-30";"central_northwest";"morning peak";"1161";"Tuesday";5
"2017-05-31";"central_northwest";"morning peak";"1198";"Wednesday";5
"2017-06-01";"central_northwest";"morning peak";"1130";"Thursday";6
"2017-06-02";"central_northwest";"morning peak";"1146";"Friday";6
"2017-06-05";"central_northwest";"morning peak";"1120";"Monday";6
"2017-06-06";"central_northwest";"morning peak";"984";"Tuesday";6
"2017-06-07";"central_northwest";"morning peak";"1082";"Wednesday";6
"2017-06-08";"central_northwest";"morning peak";"1095";"Thursday";6
"2017-06-09";"central_northwest";"morning peak";"993";"Friday";6
"2017-06-12";"central_northwest";"morning peak";"1040";"Monday";6
"2017-06-13";"central_northwest";"morning peak";"1113";"Tuesday";6
"2017-06-14";"central_northwest";"morning peak";"1098";"Wednesday";6
"2017-06-15";"central_northwest";"morning peak";NA;"Thursday";6
"2017-06-16";"central_northwest";"morning peak";"807";"Friday";6
"2017-06-19";"central_northwest";"morning peak";"1183";"Monday";6
"2017-06-20";"central_northwest";"morning peak";"1051";"Tuesday";6
"2017-06-21";"central_northwest";"morning peak";"1061";"Wednesday";6
"2017-06-22";"central_northwest";"morning peak";"1036";"Thursday";6
"2017-06-23";"central_northwest";"morning peak";"1010";"Friday";6
"2017-06-26";"central_northwest";"morning peak";"1028";"Monday";6
"2017-06-27";"central_northwest";"morning peak";"1063";"Tuesday";6
"2017-06-28";"central_northwest";"morning peak";"1085";"Wednesday";6
"2017-06-29";"central_northwest";"morning peak";"1008";"Thursday";6
"2017-06-30";"central_northwest";"morning peak";"965";"Friday";6
"2017-07-03";"central_northwest";"morning peak";"956";"Monday";7
"2017-07-04";"central_northwest";"morning peak";"906";"Tuesday";7
"2017-07-05";"central_northwest";"morning peak";"899";"Wednesday";7
"2017-07-06";"central_northwest";"morning peak";"1006";"Thursday";7
"2017-07-07";"central_northwest";"morning peak";"966";"Friday";7
"2017-07-10";"central_northwest";"morning peak";"904";"Monday";7
"2017-07-11";"central_northwest";"morning peak";"1030";"Tuesday";7
"2017-07-12";"central_northwest";"morning peak";"964";"Wednesday";7
"2017-07-13";"central_northwest";"morning peak";"998";"Thursday";7
"2017-07-14";"central_northwest";"morning peak";"885";"Friday";7
"2017-07-17";"central_northwest";"morning peak";"859";"Monday";7
"2017-07-18";"central_northwest";"morning peak";"938";"Tuesday";7
"2017-07-19";"central_northwest";"morning peak";"845";"Wednesday";7
"2017-07-20";"central_northwest";"morning peak";"969";"Thursday";7
"2017-07-21";"central_northwest";"morning peak";"905";"Friday";7
"2017-07-24";"central_northwest";"morning peak";"833";"Monday";7
"2017-07-25";"central_northwest";"morning peak";"810";"Tuesday";7
"2017-07-26";"central_northwest";"morning peak";"893";"Wednesday";7
"2017-07-27";"central_northwest";"morning peak";"825";"Thursday";7
"2017-07-28";"central_northwest";"morning peak";"910";"Friday";7
"2017-07-31";"central_northwest";"morning peak";"761";"Monday";7
"2017-08-01";"central_northwest";"morning peak";"953";"Tuesday";8
"2017-08-02";"central_northwest";"morning peak";"971";"Wednesday";8
"2017-08-03";"central_northwest";"morning peak";"965";"Thursday";8
"2017-08-04";"central_northwest";"morning peak";"924";"Friday";8
"2017-08-07";"central_northwest";"morning peak";"1064";"Monday";8
"2017-08-08";"central_northwest";"morning peak";"1020";"Tuesday";8
"2017-08-09";"central_northwest";"morning peak";"989";"Wednesday";8
"2017-08-10";"central_northwest";"morning peak";"1052";"Thursday";8
"2017-08-11";"central_northwest";"morning peak";"1136";"Friday";8
"2017-08-14";"central_northwest";"morning peak";"831";"Monday";8
"2017-08-15";"central_northwest";"morning peak";NA;"Tuesday";8
"2017-08-16";"central_northwest";"morning peak";"1260";"Wednesday";8
"2017-08-17";"central_northwest";"morning peak";"1132";"Thursday";8
"2017-08-18";"central_northwest";"morning peak";"979";"Friday";8
"2017-08-21";"central_northwest";"morning peak";"1172";"Monday";8
"2017-08-22";"central_northwest";"morning peak";"1203";"Tuesday";8
"2017-08-23";"central_northwest";"morning peak";"1157";"Wednesday";8
"2017-08-24";"central_northwest";"morning peak";"1200";"Thursday";8
"2017-08-25";"central_northwest";"morning peak";"1214";"Friday";8
"2017-08-28";"central_northwest";"morning peak";"1239";"Monday";8
"2017-08-29";"central_northwest";"morning peak";"1210";"Tuesday";8
"2017-08-30";"central_northwest";"morning peak";"1179";"Wednesday";8
