"DAY";"OD_PAIR";"PERIOD";"OD_FLOW";"WEEKDAY";"MONTH"
"2017-05-10";"northwest_south-west";"morning peak";"407";"Wednesday";5
"2017-05-11";"northwest_south-west";"morning peak";"378";"Thursday";5
"2017-05-12";"northwest_south-west";"morning peak";"376";"Friday";5
"2017-05-15";"northwest_south-west";"morning peak";"408";"Monday";5
"2017-05-16";"northwest_south-west";"morning peak";"403";"Tuesday";5
"2017-05-17";"northwest_south-west";"morning peak";"418";"Wednesday";5
"2017-05-18";"northwest_south-west";"morning peak";"413";"Thursday";5
"2017-05-19";"northwest_south-west";"morning peak";"402";"Friday";5
"2017-05-22";"northwest_south-west";"morning peak";"398";"Monday";5
"2017-05-23";"northwest_south-west";"morning peak";"366";"Tuesday";5
"2017-05-24";"northwest_south-west";"morning peak";"392";"Wednesday";5
"2017-05-25";"northwest_south-west";"morning peak";"397";"Thursday";5
"2017-05-26";"northwest_south-west";"morning peak";"396";"Friday";5
"2017-05-29";"northwest_south-west";"morning peak";"351";"Monday";5
"2017-05-30";"northwest_south-west";"morning peak";"407";"Tuesday";5
"2017-05-31";"northwest_south-west";"morning peak";"419";"Wednesday";5
"2017-06-01";"northwest_south-west";"morning peak";"427";"Thursday";6
"2017-06-02";"northwest_south-west";"morning peak";"457";"Friday";6
"2017-06-05";"northwest_south-west";"morning peak";"419";"Monday";6
"2017-06-06";"northwest_south-west";"morning peak";"414";"Tuesday";6
"2017-06-07";"northwest_south-west";"morning peak";"427";"Wednesday";6
"2017-06-08";"northwest_south-west";"morning peak";"423";"Thursday";6
"2017-06-09";"northwest_south-west";"morning peak";"415";"Friday";6
"2017-06-12";"northwest_south-west";"morning peak";"360";"Monday";6
"2017-06-13";"northwest_south-west";"morning peak";"412";"Tuesday";6
"2017-06-14";"northwest_south-west";"morning peak";NA;"Wednesday";6
"2017-06-15";"northwest_south-west";"morning peak";NA;"Thursday";6
"2017-06-16";"northwest_south-west";"morning peak";"328";"Friday";6
"2017-06-19";"northwest_south-west";"morning peak";"419";"Monday";6
"2017-06-20";"northwest_south-west";"morning peak";"392";"Tuesday";6
"2017-06-21";"northwest_south-west";"morning peak";"417";"Wednesday";6
"2017-06-22";"northwest_south-west";"morning peak";"433";"Thursday";6
"2017-06-23";"northwest_south-west";"morning peak";"407";"Friday";6
"2017-06-26";"northwest_south-west";"morning peak";"430";"Monday";6
"2017-06-27";"northwest_south-west";"morning peak";"415";"Tuesday";6
"2017-06-28";"northwest_south-west";"morning peak";"419";"Wednesday";6
"2017-06-29";"northwest_south-west";"morning peak";"420";"Thursday";6
"2017-06-30";"northwest_south-west";"morning peak";"398";"Friday";6
"2017-07-03";"northwest_south-west";"morning peak";"377";"Monday";7
"2017-07-04";"northwest_south-west";"morning peak";"372";"Tuesday";7
"2017-07-05";"northwest_south-west";"morning peak";"384";"Wednesday";7
"2017-07-06";"northwest_south-west";"morning peak";"426";"Thursday";7
"2017-07-07";"northwest_south-west";"morning peak";"415";"Friday";7
"2017-07-10";"northwest_south-west";"morning peak";"401";"Monday";7
"2017-07-11";"northwest_south-west";"morning peak";"396";"Tuesday";7
"2017-07-12";"northwest_south-west";"morning peak";"333";"Wednesday";7
"2017-07-13";"northwest_south-west";"morning peak";"361";"Thursday";7
"2017-07-14";"northwest_south-west";"morning peak";"368";"Friday";7
"2017-07-17";"northwest_south-west";"morning peak";"388";"Monday";7
"2017-07-18";"northwest_south-west";"morning peak";"397";"Tuesday";7
"2017-07-19";"northwest_south-west";"morning peak";"335";"Wednesday";7
"2017-07-20";"northwest_south-west";"morning peak";"391";"Thursday";7
"2017-07-21";"northwest_south-west";"morning peak";"322";"Friday";7
"2017-07-24";"northwest_south-west";"morning peak";"344";"Monday";7
"2017-07-25";"northwest_south-west";"morning peak";"335";"Tuesday";7
"2017-07-26";"northwest_south-west";"morning peak";"349";"Wednesday";7
"2017-07-27";"northwest_south-west";"morning peak";"355";"Thursday";7
"2017-07-28";"northwest_south-west";"morning peak";"394";"Friday";7
"2017-07-31";"northwest_south-west";"morning peak";"283";"Monday";7
"2017-08-01";"northwest_south-west";"morning peak";"383";"Tuesday";8
"2017-08-02";"northwest_south-west";"morning peak";"415";"Wednesday";8
"2017-08-03";"northwest_south-west";"morning peak";"346";"Thursday";8
"2017-08-04";"northwest_south-west";"morning peak";"344";"Friday";8
"2017-08-07";"northwest_south-west";"morning peak";"343";"Monday";8
"2017-08-08";"northwest_south-west";"morning peak";"329";"Tuesday";8
"2017-08-09";"northwest_south-west";"morning peak";"333";"Wednesday";8
"2017-08-10";"northwest_south-west";"morning peak";"317";"Thursday";8
"2017-08-11";"northwest_south-west";"morning peak";"388";"Friday";8
"2017-08-14";"northwest_south-west";"morning peak";"338";"Monday";8
"2017-08-15";"northwest_south-west";"morning peak";"285";"Tuesday";8
"2017-08-16";"northwest_south-west";"morning peak";"395";"Wednesday";8
"2017-08-17";"northwest_south-west";"morning peak";"401";"Thursday";8
"2017-08-18";"northwest_south-west";"morning peak";"387";"Friday";8
"2017-08-21";"northwest_south-west";"morning peak";"348";"Monday";8
"2017-08-22";"northwest_south-west";"morning peak";"348";"Tuesday";8
"2017-08-23";"northwest_south-west";"morning peak";"336";"Wednesday";8
"2017-08-24";"northwest_south-west";"morning peak";"333";"Thursday";8
"2017-08-25";"northwest_south-west";"morning peak";"294";"Friday";8
"2017-08-28";"northwest_south-west";"morning peak";"348";"Monday";8
"2017-08-29";"northwest_south-west";"morning peak";"313";"Tuesday";8
"2017-08-30";"northwest_south-west";"morning peak";"343";"Wednesday";8
"2017-08-31";"northwest_south-west";"morning peak";"365";"Thursday";8
"2017-09-01";"northwest_south-west";"morning peak";"447";"Friday";9
"2017-09-04";"northwest_south-west";"morning peak";"393";"Monday";9
"2017-09-05";"northwest_south-west";"morning peak";"405";"Tuesday";9
"2017-09-06";"northwest_south-west";"morning peak";"438";"Wednesday";9
"2017-09-07";"northwest_south-west";"morning peak";NA;"Thursday";9
"2017-09-08";"northwest_south-west";"morning peak";"324";"Friday";9
"2017-09-11";"northwest_south-west";"morning peak";"392";"Monday";9
"2017-09-12";"northwest_south-west";"morning peak";"449";"Tuesday";9
"2017-09-13";"northwest_south-west";"morning peak";"449";"Wednesday";9
"2017-09-14";"northwest_south-west";"morning peak";"312";"Thursday";9
"2017-09-15";"northwest_south-west";"morning peak";"356";"Friday";9
"2017-09-18";"northwest_south-west";"morning peak";"454";"Monday";9
"2017-09-19";"northwest_south-west";"morning peak";"393";"Tuesday";9
"2017-09-20";"northwest_south-west";"morning peak";"413";"Wednesday";9
"2017-09-21";"northwest_south-west";"morning peak";"374";"Thursday";9
"2017-09-22";"northwest_south-west";"morning peak";"445";"Friday";9
"2017-09-25";"northwest_south-west";"morning peak";"286";"Monday";9
"2017-09-26";"northwest_south-west";"morning peak";"355";"Tuesday";9
