"DAY";"OD_PAIR";"PERIOD";"OD_FLOW";"WEEKDAY";"MONTH"
"2017-05-10";"south-west_northeast";"morning peak";"12";"Wednesday";5
"2017-05-11";"south-west_northeast";"morning peak";"22";"Thursday";5
"2017-05-12";"south-west_northeast";"morning peak";"20";"Friday";5
"2017-05-15";"south-west_northeast";"morning peak";"23";"Monday";5
"2017-05-16";"south-west_northeast";"morning peak";"23";"Tuesday";5
"2017-05-17";"south-west_northeast";"morning peak";"26";"Wednesday";5
"2017-05-18";"south-west_northeast";"morning peak";"25";"Thursday";5
"2017-05-19";"south-west_northeast";"morning peak";"37";"Friday";5
"2017-05-22";"south-west_northeast";"morning peak";"20";"Monday";5
"2017-05-23";"south-west_northeast";"morning peak";"29";"Tuesday";5
"2017-05-24";"south-west_northeast";"morning peak";"25";"Wednesday";5
"2017-05-25";"south-west_northeast";"morning peak";"20";"Thursday";5
"2017-05-26";"south-west_northeast";"morning peak";"19";"Friday";5
"2017-05-29";"south-west_northeast";"morning peak";"8";"Monday";5
"2017-05-30";"south-west_northeast";"morning peak";"7";"Tuesday";5
"2017-05-31";"south-west_northeast";"morning peak";"10";"Wednesday";5
"2017-06-01";"south-west_northeast";"morning peak";"26";"Thursday";6
"2017-06-02";"south-west_northeast";"morning peak";"18";"Friday";6
"2017-06-05";"south-west_northeast";"morning peak";"17";"Monday";6
"2017-06-06";"south-west_northeast";"morning peak";"21";"Tuesday";6
"2017-06-07";"south-west_northeast";"morning peak";"29";"Wednesday";6
"2017-06-08";"south-west_northeast";"morning peak";"17";"Thursday";6
"2017-06-09";"south-west_northeast";"morning peak";"31";"Friday";6
"2017-06-12";"south-west_northeast";"morning peak";"21";"Monday";6
"2017-06-13";"south-west_northeast";"morning peak";"28";"Tuesday";6
"2017-06-14";"south-west_northeast";"morning peak";"31";"Wednesday";6
"2017-06-15";"south-west_northeast";"morning peak";NA;"Thursday";6
"2017-06-16";"south-west_northeast";"morning peak";"29";"Friday";6
"2017-06-19";"south-west_northeast";"morning peak";"14";"Monday";6
"2017-06-20";"south-west_northeast";"morning peak";"34";"Tuesday";6
"2017-06-21";"south-west_northeast";"morning peak";"28";"Wednesday";6
"2017-06-22";"south-west_northeast";"morning peak";"31";"Thursday";6
"2017-06-23";"south-west_northeast";"morning peak";"31";"Friday";6
"2017-06-26";"south-west_northeast";"morning peak";"37";"Monday";6
"2017-06-27";"south-west_northeast";"morning peak";"27";"Tuesday";6
"2017-06-28";"south-west_northeast";"morning peak";"25";"Wednesday";6
"2017-06-29";"south-west_northeast";"morning peak";"20";"Thursday";6
"2017-06-30";"south-west_northeast";"morning peak";"29";"Friday";6
"2017-07-03";"south-west_northeast";"morning peak";"33";"Monday";7
"2017-07-04";"south-west_northeast";"morning peak";"30";"Tuesday";7
"2017-07-05";"south-west_northeast";"morning peak";"35";"Wednesday";7
"2017-07-06";"south-west_northeast";"morning peak";"28";"Thursday";7
"2017-07-07";"south-west_northeast";"morning peak";"30";"Friday";7
"2017-07-10";"south-west_northeast";"morning peak";"39";"Monday";7
"2017-07-11";"south-west_northeast";"morning peak";"32";"Tuesday";7
"2017-07-12";"south-west_northeast";"morning peak";"41";"Wednesday";7
"2017-07-13";"south-west_northeast";"morning peak";"38";"Thursday";7
"2017-07-14";"south-west_northeast";"morning peak";"23";"Friday";7
"2017-07-17";"south-west_northeast";"morning peak";"50";"Monday";7
"2017-07-18";"south-west_northeast";"morning peak";"54";"Tuesday";7
"2017-07-19";"south-west_northeast";"morning peak";"45";"Wednesday";7
"2017-07-20";"south-west_northeast";"morning peak";"38";"Thursday";7
"2017-07-21";"south-west_northeast";"morning peak";"44";"Friday";7
"2017-07-24";"south-west_northeast";"morning peak";"55";"Monday";7
"2017-07-25";"south-west_northeast";"morning peak";"57";"Tuesday";7
"2017-07-26";"south-west_northeast";"morning peak";"57";"Wednesday";7
"2017-07-27";"south-west_northeast";"morning peak";"49";"Thursday";7
"2017-07-28";"south-west_northeast";"morning peak";"48";"Friday";7
"2017-07-31";"south-west_northeast";"morning peak";"51";"Monday";7
"2017-08-01";"south-west_northeast";"morning peak";"45";"Tuesday";8
"2017-08-02";"south-west_northeast";"morning peak";"46";"Wednesday";8
"2017-08-03";"south-west_northeast";"morning peak";"45";"Thursday";8
"2017-08-04";"south-west_northeast";"morning peak";"44";"Friday";8
"2017-08-07";"south-west_northeast";"morning peak";"39";"Monday";8
"2017-08-08";"south-west_northeast";"morning peak";"38";"Tuesday";8
"2017-08-09";"south-west_northeast";"morning peak";"52";"Wednesday";8
"2017-08-10";"south-west_northeast";"morning peak";"58";"Thursday";8
"2017-08-11";"south-west_northeast";"morning peak";"43";"Friday";8
"2017-08-14";"south-west_northeast";"morning peak";"44";"Monday";8
"2017-08-15";"south-west_northeast";"morning peak";"40";"Tuesday";8
"2017-08-16";"south-west_northeast";"morning peak";"40";"Wednesday";8
"2017-08-17";"south-west_northeast";"morning peak";"43";"Thursday";8
"2017-08-18";"south-west_northeast";"morning peak";"62";"Friday";8
"2017-08-21";"south-west_northeast";"morning peak";"32";"Monday";8
"2017-08-22";"south-west_northeast";"morning peak";"29";"Tuesday";8
"2017-08-23";"south-west_northeast";"morning peak";"30";"Wednesday";8
"2017-08-24";"south-west_northeast";"morning peak";"50";"Thursday";8
"2017-08-25";"south-west_northeast";"morning peak";"44";"Friday";8
"2017-08-28";"south-west_northeast";"morning peak";"53";"Monday";8
"2017-08-29";"south-west_northeast";"morning peak";"41";"Tuesday";8
"2017-08-30";"south-west_northeast";"morning peak";"46";"Wednesday";8
"2017-08-31";"south-west_northeast";"morning peak";"47";"Thursday";8
"2017-09-01";"south-west_northeast";"morning peak";"41";"Friday";9
"2017-09-04";"south-west_northeast";"morning peak";"43";"Monday";9
"2017-09-05";"south-west_northeast";"morning peak";"52";"Tuesday";9
"2017-09-06";"south-west_northeast";"morning peak";"37";"Wednesday";9
"2017-09-07";"south-west_northeast";"morning peak";NA;"Thursday";9
"2017-09-08";"south-west_northeast";"morning peak";"50";"Friday";9
"2017-09-11";"south-west_northeast";"morning peak";"43";"Monday";9
"2017-09-12";"south-west_northeast";"morning peak";"53";"Tuesday";9
"2017-09-13";"south-west_northeast";"morning peak";"41";"Wednesday";9
"2017-09-14";"south-west_northeast";"morning peak";"33";"Thursday";9
"2017-09-15";"south-west_northeast";"morning peak";"55";"Friday";9
"2017-09-18";"south-west_northeast";"morning peak";"49";"Monday";9
"2017-09-19";"south-west_northeast";"morning peak";"51";"Tuesday";9
"2017-09-20";"south-west_northeast";"morning peak";"51";"Wednesday";9
"2017-09-21";"south-west_northeast";"morning peak";"57";"Thursday";9
"2017-09-22";"south-west_northeast";"morning peak";"50";"Friday";9
"2017-09-25";"south-west_northeast";"morning peak";"54";"Monday";9
"2017-09-26";"south-west_northeast";"morning peak";"35";"Tuesday";9
"2017-09-27";"south-west_northeast";"morning peak";"44";"Wednesday";9
"2017-09-28";"south-west_northeast";"morning peak";"50";"Thursday";9
"2017-09-29";"south-west_northeast";"morning peak";"51";"Friday";9
"2017-10-02";"south-west_northeast";"morning peak";"39";"Monday";10
"2017-10-03";"south-west_northeast";"morning peak";"45";"Tuesday";10
"2017-10-04";"south-west_northeast";"morning peak";"48";"Wednesday";10
"2017-10-05";"south-west_northeast";"morning peak";"44";"Thursday";10
"2017-10-06";"south-west_northeast";"morning peak";"40";"Friday";10
"2017-10-09";"south-west_northeast";"morning peak";"44";"Monday";10
"2017-10-10";"south-west_northeast";"morning peak";"48";"Tuesday";10
"2017-10-11";"south-west_northeast";"morning peak";"47";"Wednesday";10
"2017-10-12";"south-west_northeast";"morning peak";NA;"Thursday";10
"2017-10-13";"south-west_northeast";"morning peak";"47";"Friday";10
"2017-10-16";"south-west_northeast";"morning peak";"44";"Monday";10
"2017-10-17";"south-west_northeast";"morning peak";"50";"Tuesday";10
"2017-10-18";"south-west_northeast";"morning peak";"41";"Wednesday";10
"2017-10-19";"south-west_northeast";"morning peak";"51";"Thursday";10
"2017-10-20";"south-west_northeast";"morning peak";"53";"Friday";10
"2017-10-23";"south-west_northeast";"morning peak";"38";"Monday";10
"2017-10-24";"south-west_northeast";"morning peak";"50";"Tuesday";10
"2017-10-25";"south-west_northeast";"morning peak";"38";"Wednesday";10
"2017-10-26";"south-west_northeast";"morning peak";NA;"Thursday";10
"2017-10-27";"south-west_northeast";"morning peak";"50";"Friday";10
"2017-10-30";"south-west_northeast";"morning peak";"33";"Monday";10
"2017-10-31";"south-west_northeast";"morning peak";"51";"Tuesday";10
"2017-11-01";"south-west_northeast";"morning peak";"51";"Wednesday";11
"2017-11-02";"south-west_northeast";"morning peak";NA;"Thursday";11
"2017-11-03";"south-west_northeast";"morning peak";"59";"Friday";11
"2017-11-06";"south-west_northeast";"morning peak";"49";"Monday";11
"2017-11-07";"south-west_northeast";"morning peak";"40";"Tuesday";11
"2017-11-08";"south-west_northeast";"morning peak";"43";"Wednesday";11
"2017-11-09";"south-west_northeast";"morning peak";"44";"Thursday";11
"2017-11-10";"south-west_northeast";"morning peak";"47";"Friday";11
"2017-11-13";"south-west_northeast";"morning peak";"54";"Monday";11
"2017-11-14";"south-west_northeast";"morning peak";"44";"Tuesday";11
"2017-11-15";"south-west_northeast";"morning peak";NA;"Wednesday";11
"2017-11-16";"south-west_northeast";"morning peak";"46";"Thursday";11
"2017-11-17";"south-west_northeast";"morning peak";"44";"Friday";11
"2017-11-20";"south-west_northeast";"morning peak";"36";"Monday";11
"2017-11-21";"south-west_northeast";"morning peak";"46";"Tuesday";11
"2017-11-22";"south-west_northeast";"morning peak";"35";"Wednesday";11
"2017-11-23";"south-west_northeast";"morning peak";"40";"Thursday";11
"2017-11-24";"south-west_northeast";"morning peak";"49";"Friday";11
"2017-11-27";"south-west_northeast";"morning peak";"53";"Monday";11
"2017-11-28";"south-west_northeast";"morning peak";"34";"Tuesday";11
"2017-11-29";"south-west_northeast";"morning peak";"50";"Wednesday";11
"2017-11-30";"south-west_northeast";"morning peak";"47";"Thursday";11
"2017-12-01";"south-west_northeast";"morning peak";"34";"Friday";12
"2017-12-04";"south-west_northeast";"morning peak";"40";"Monday";12
"2017-12-05";"south-west_northeast";"morning peak";"47";"Tuesday";12
"2017-12-06";"south-west_northeast";"morning peak";"37";"Wednesday";12
"2017-12-07";"south-west_northeast";"morning peak";"35";"Thursday";12
"2017-12-08";"south-west_northeast";"morning peak";"52";"Friday";12
"2017-12-11";"south-west_northeast";"morning peak";"40";"Monday";12
"2017-12-12";"south-west_northeast";"morning peak";"37";"Tuesday";12
"2017-12-13";"south-west_northeast";"morning peak";"63";"Wednesday";12
"2017-12-14";"south-west_northeast";"morning peak";"55";"Thursday";12
"2017-12-15";"south-west_northeast";"morning peak";"57";"Friday";12
"2017-12-18";"south-west_northeast";"morning peak";"61";"Monday";12
"2017-12-19";"south-west_northeast";"morning peak";"59";"Tuesday";12
"2017-12-20";"south-west_northeast";"morning peak";"50";"Wednesday";12
"2017-12-21";"south-west_northeast";"morning peak";"63";"Thursday";12
"2017-12-22";"south-west_northeast";"morning peak";"52";"Friday";12
"2017-12-25";"south-west_northeast";"morning peak";NA;"Monday";12
"2017-12-26";"south-west_northeast";"morning peak";"42";"Tuesday";12
"2017-12-27";"south-west_northeast";"morning peak";"44";"Wednesday";12
