"DAY";"OD_PAIR";"PERIOD";"OD_FLOW";"WEEKDAY";"MONTH"
"2017-05-09";"south-west_northwest";"morning peak";"840";"Tuesday";5
"2017-05-10";"south-west_northwest";"morning peak";"921";"Wednesday";5
"2017-05-11";"south-west_northwest";"morning peak";"908";"Thursday";5
"2017-05-12";"south-west_northwest";"morning peak";"949";"Friday";5
"2017-05-15";"south-west_northwest";"morning peak";"982";"Monday";5
"2017-05-16";"south-west_northwest";"morning peak";"950";"Tuesday";5
"2017-05-17";"south-west_northwest";"morning peak";"936";"Wednesday";5
"2017-05-18";"south-west_northwest";"morning peak";"1050";"Thursday";5
"2017-05-19";"south-west_northwest";"morning peak";"1058";"Friday";5
"2017-05-22";"south-west_northwest";"morning peak";"920";"Monday";5
"2017-05-23";"south-west_northwest";"morning peak";"758";"Tuesday";5
"2017-05-24";"south-west_northwest";"morning peak";"767";"Wednesday";5
"2017-05-25";"south-west_northwest";"morning peak";"778";"Thursday";5
"2017-05-26";"south-west_northwest";"morning peak";"846";"Friday";5
"2017-05-29";"south-west_northwest";"morning peak";"843";"Monday";5
"2017-05-30";"south-west_northwest";"morning peak";"876";"Tuesday";5
"2017-05-31";"south-west_northwest";"morning peak";"1004";"Wednesday";5
"2017-06-01";"south-west_northwest";"morning peak";"934";"Thursday";6
"2017-06-02";"south-west_northwest";"morning peak";"908";"Friday";6
"2017-06-05";"south-west_northwest";"morning peak";"947";"Monday";6
"2017-06-06";"south-west_northwest";"morning peak";"758";"Tuesday";6
"2017-06-07";"south-west_northwest";"morning peak";"1081";"Wednesday";6
"2017-06-08";"south-west_northwest";"morning peak";"867";"Thursday";6
"2017-06-09";"south-west_northwest";"morning peak";"782";"Friday";6
"2017-06-12";"south-west_northwest";"morning peak";"777";"Monday";6
"2017-06-13";"south-west_northwest";"morning peak";"946";"Tuesday";6
"2017-06-14";"south-west_northwest";"morning peak";"962";"Wednesday";6
"2017-06-15";"south-west_northwest";"morning peak";NA;"Thursday";6
"2017-06-16";"south-west_northwest";"morning peak";"875";"Friday";6
"2017-06-19";"south-west_northwest";"morning peak";"1016";"Monday";6
"2017-06-20";"south-west_northwest";"morning peak";"805";"Tuesday";6
"2017-06-21";"south-west_northwest";"morning peak";"765";"Wednesday";6
"2017-06-22";"south-west_northwest";"morning peak";"785";"Thursday";6
"2017-06-23";"south-west_northwest";"morning peak";"776";"Friday";6
"2017-06-26";"south-west_northwest";"morning peak";"944";"Monday";6
"2017-06-27";"south-west_northwest";"morning peak";"830";"Tuesday";6
"2017-06-28";"south-west_northwest";"morning peak";"847";"Wednesday";6
"2017-06-29";"south-west_northwest";"morning peak";"715";"Thursday";6
"2017-06-30";"south-west_northwest";"morning peak";"920";"Friday";6
"2017-07-03";"south-west_northwest";"morning peak";"727";"Monday";7
"2017-07-04";"south-west_northwest";"morning peak";"741";"Tuesday";7
"2017-07-05";"south-west_northwest";"morning peak";"775";"Wednesday";7
"2017-07-06";"south-west_northwest";"morning peak";"971";"Thursday";7
"2017-07-07";"south-west_northwest";"morning peak";"938";"Friday";7
"2017-07-10";"south-west_northwest";"morning peak";"891";"Monday";7
"2017-07-11";"south-west_northwest";"morning peak";"920";"Tuesday";7
"2017-07-12";"south-west_northwest";"morning peak";"701";"Wednesday";7
"2017-07-13";"south-west_northwest";"morning peak";"825";"Thursday";7
"2017-07-14";"south-west_northwest";"morning peak";"843";"Friday";7
"2017-07-17";"south-west_northwest";"morning peak";"849";"Monday";7
"2017-07-18";"south-west_northwest";"morning peak";"970";"Tuesday";7
"2017-07-19";"south-west_northwest";"morning peak";"713";"Wednesday";7
"2017-07-20";"south-west_northwest";"morning peak";"874";"Thursday";7
"2017-07-21";"south-west_northwest";"morning peak";"731";"Friday";7
"2017-07-24";"south-west_northwest";"morning peak";"711";"Monday";7
"2017-07-25";"south-west_northwest";"morning peak";"605";"Tuesday";7
"2017-07-26";"south-west_northwest";"morning peak";"789";"Wednesday";7
"2017-07-27";"south-west_northwest";"morning peak";"736";"Thursday";7
"2017-07-28";"south-west_northwest";"morning peak";"877";"Friday";7
"2017-07-31";"south-west_northwest";"morning peak";"880";"Monday";7
"2017-08-01";"south-west_northwest";"morning peak";"869";"Tuesday";8
"2017-08-02";"south-west_northwest";"morning peak";"950";"Wednesday";8
"2017-08-03";"south-west_northwest";"morning peak";"838";"Thursday";8
"2017-08-04";"south-west_northwest";"morning peak";"813";"Friday";8
"2017-08-07";"south-west_northwest";"morning peak";"1124";"Monday";8
"2017-08-08";"south-west_northwest";"morning peak";"887";"Tuesday";8
"2017-08-09";"south-west_northwest";"morning peak";"870";"Wednesday";8
"2017-08-10";"south-west_northwest";"morning peak";"889";"Thursday";8
"2017-08-11";"south-west_northwest";"morning peak";"952";"Friday";8
"2017-08-14";"south-west_northwest";"morning peak";"885";"Monday";8
