"DAY";"SENSOR_ID";"PERIOD";"VOLUME";"WEEKDAY";"MONTH"
"2017-01-02";"01385062";"morning peak";904;"Monday";1
"2017-01-03";"01385062";"morning peak";877;"Tuesday";1
"2017-01-04";"01385062";"morning peak";869;"Wednesday";1
"2017-01-05";"01385062";"morning peak";873;"Thursday";1
"2017-01-06";"01385062";"morning peak";895;"Friday";1
"2017-01-09";"01385062";"morning peak";946;"Monday";1
"2017-01-10";"01385062";"morning peak";919;"Tuesday";1
"2017-01-11";"01385062";"morning peak";NA;"Wednesday";1
"2017-01-12";"01385062";"morning peak";883;"Thursday";1
"2017-01-13";"01385062";"morning peak";866;"Friday";1
"2017-01-16";"01385062";"morning peak";940;"Monday";1
"2017-01-17";"01385062";"morning peak";883;"Tuesday";1
"2017-01-18";"01385062";"morning peak";891;"Wednesday";1
"2017-01-19";"01385062";"morning peak";873;"Thursday";1
"2017-01-20";"01385062";"morning peak";827;"Friday";1
"2017-01-23";"01385062";"morning peak";954;"Monday";1
"2017-01-24";"01385062";"morning peak";903;"Tuesday";1
"2017-01-25";"01385062";"morning peak";919;"Wednesday";1
"2017-01-26";"01385062";"morning peak";898;"Thursday";1
"2017-01-27";"01385062";"morning peak";935;"Friday";1
"2017-01-30";"01385062";"morning peak";928;"Monday";1
"2017-01-31";"01385062";"morning peak";847;"Tuesday";1
"2017-02-01";"01385062";"morning peak";897;"Wednesday";1
"2017-02-02";"01385062";"morning peak";905;"Thursday";2
"2017-02-03";"01385062";"morning peak";885;"Friday";2
"2017-02-06";"01385062";"morning peak";954;"Monday";2
"2017-02-07";"01385062";"morning peak";929;"Tuesday";2
"2017-02-08";"01385062";"morning peak";928;"Wednesday";2
"2017-02-09";"01385062";"morning peak";926;"Thursday";2
"2017-02-10";"01385062";"morning peak";905;"Friday";2
"2017-02-13";"01385062";"morning peak";914;"Monday";2
"2017-02-14";"01385062";"morning peak";905;"Tuesday";2
"2017-02-15";"01385062";"morning peak";918;"Wednesday";2
"2017-02-16";"01385062";"morning peak";911;"Thursday";2
"2017-02-17";"01385062";"morning peak";891;"Friday";2
"2017-02-20";"01385062";"morning peak";903;"Monday";2
"2017-02-21";"01385062";"morning peak";894;"Tuesday";2
"2017-02-22";"01385062";"morning peak";911;"Wednesday";2
"2017-02-23";"01385062";"morning peak";918;"Thursday";2
"2017-02-24";"01385062";"morning peak";940;"Friday";2
"2017-02-27";"01385062";"morning peak";NA;"Monday";2
"2017-02-28";"01385062";"morning peak";NA;"Tuesday";2
"2017-03-01";"01385062";"morning peak";NA;"Wednesday";2
"2017-03-02";"01385062";"morning peak";924;"Thursday";3
"2017-03-03";"01385062";"morning peak";805;"Friday";3
