"DAY";"SENSOR_ID";"PERIOD";"VOLUME";"WEEKDAY";"MONTH"
"2017-01-02";"AT095";"morning peak";NA;"Monday";1
"2017-01-03";"AT095";"morning peak";900;"Tuesday";1
"2017-01-04";"AT095";"morning peak";NA;"Wednesday";1
"2017-01-05";"AT095";"morning peak";928;"Thursday";1
"2017-01-06";"AT095";"morning peak";925;"Friday";1
"2017-01-09";"AT095";"morning peak";914;"Monday";1
"2017-01-10";"AT095";"morning peak";972;"Tuesday";1
"2017-01-11";"AT095";"morning peak";976;"Wednesday";1
"2017-01-12";"AT095";"morning peak";967;"Thursday";1
"2017-01-13";"AT095";"morning peak";972;"Friday";1
"2017-01-16";"AT095";"morning peak";NA;"Monday";1
"2017-01-17";"AT095";"morning peak";1002;"Tuesday";1
"2017-01-18";"AT095";"morning peak";973;"Wednesday";1
"2017-01-19";"AT095";"morning peak";996;"Thursday";1
"2017-01-20";"AT095";"morning peak";943;"Friday";1
"2017-01-23";"AT095";"morning peak";966;"Monday";1
"2017-01-24";"AT095";"morning peak";1025;"Tuesday";1
"2017-01-25";"AT095";"morning peak";1013;"Wednesday";1
"2017-01-26";"AT095";"morning peak";1089;"Thursday";1
"2017-01-27";"AT095";"morning peak";1030;"Friday";1
"2017-01-30";"AT095";"morning peak";1028;"Monday";1
"2017-01-31";"AT095";"morning peak";930;"Tuesday";1
"2017-02-01";"AT095";"morning peak";1031;"Wednesday";1
"2017-02-02";"AT095";"morning peak";1020;"Thursday";2
"2017-02-03";"AT095";"morning peak";1073;"Friday";2
"2017-02-06";"AT095";"morning peak";1078;"Monday";2
"2017-02-07";"AT095";"morning peak";NA;"Tuesday";2
"2017-02-08";"AT095";"morning peak";1076;"Wednesday";2
"2017-02-09";"AT095";"morning peak";1072;"Thursday";2
"2017-02-10";"AT095";"morning peak";1093;"Friday";2
"2017-02-13";"AT095";"morning peak";1027;"Monday";2
"2017-02-14";"AT095";"morning peak";1046;"Tuesday";2
"2017-02-15";"AT095";"morning peak";1061;"Wednesday";2
"2017-02-16";"AT095";"morning peak";1097;"Thursday";2
"2017-02-17";"AT095";"morning peak";1042;"Friday";2
"2017-02-20";"AT095";"morning peak";1010;"Monday";2
"2017-02-21";"AT095";"morning peak";1055;"Tuesday";2
"2017-02-22";"AT095";"morning peak";1037;"Wednesday";2
"2017-02-23";"AT095";"morning peak";1083;"Thursday";2
"2017-02-24";"AT095";"morning peak";1060;"Friday";2
"2017-02-27";"AT095";"morning peak";NA;"Monday";2
"2017-02-28";"AT095";"morning peak";NA;"Tuesday";2
"2017-03-01";"AT095";"morning peak";NA;"Wednesday";2
"2017-03-02";"AT095";"morning peak";NA;"Thursday";3
"2017-03-03";"AT095";"morning peak";NA;"Friday";3
"2017-03-06";"AT095";"morning peak";NA;"Monday";3
"2017-03-07";"AT095";"morning peak";1013;"Tuesday";3
"2017-03-08";"AT095";"morning peak";1028;"Wednesday";3
"2017-03-09";"AT095";"morning peak";NA;"Thursday";3
"2017-03-10";"AT095";"morning peak";NA;"Friday";3
"2017-03-13";"AT095";"morning peak";NA;"Monday";3
"2017-03-14";"AT095";"morning peak";NA;"Tuesday";3
"2017-03-15";"AT095";"morning peak";1018;"Wednesday";3
"2017-03-16";"AT095";"morning peak";1012;"Thursday";3
"2017-03-17";"AT095";"morning peak";1003;"Friday";3
"2017-03-20";"AT095";"morning peak";NA;"Monday";3
"2017-03-21";"AT095";"morning peak";1032;"Tuesday";3
"2017-03-22";"AT095";"morning peak";1019;"Wednesday";3
"2017-03-23";"AT095";"morning peak";1013;"Thursday";3
"2017-03-24";"AT095";"morning peak";976;"Friday";3
"2017-03-27";"AT095";"morning peak";1028;"Monday";3
"2017-03-28";"AT095";"morning peak";1039;"Tuesday";3
"2017-03-29";"AT095";"morning peak";1061;"Wednesday";3
"2017-03-30";"AT095";"morning peak";1070;"Thursday";3
"2017-03-31";"AT095";"morning peak";1051;"Friday";3
"2017-04-03";"AT095";"morning peak";1065;"Monday";4
"2017-04-04";"AT095";"morning peak";993;"Tuesday";4
"2017-04-05";"AT095";"morning peak";1043;"Wednesday";4
"2017-04-06";"AT095";"morning peak";1088;"Thursday";4
"2017-04-07";"AT095";"morning peak";1106;"Friday";4
"2017-04-10";"AT095";"morning peak";1106;"Monday";4
"2017-04-11";"AT095";"morning peak";1057;"Tuesday";4
