"DAY";"SENSOR_ID";"PERIOD";"VOLUME";"WEEKDAY";"MONTH"
"2017-01-02";"FS116";"morning peak";NA;"Monday";1
"2017-01-03";"FS116";"morning peak";1613;"Tuesday";1
"2017-01-04";"FS116";"morning peak";NA;"Wednesday";1
"2017-01-05";"FS116";"morning peak";1574;"Thursday";1
"2017-01-06";"FS116";"morning peak";1629;"Friday";1
"2017-01-09";"FS116";"morning peak";1641;"Monday";1
"2017-01-10";"FS116";"morning peak";1621;"Tuesday";1
"2017-01-11";"FS116";"morning peak";1604;"Wednesday";1
"2017-01-12";"FS116";"morning peak";NA;"Thursday";1
"2017-01-13";"FS116";"morning peak";1684;"Friday";1
"2017-01-16";"FS116";"morning peak";1542;"Monday";1
"2017-01-17";"FS116";"morning peak";1665;"Tuesday";1
"2017-01-18";"FS116";"morning peak";1692;"Wednesday";1
"2017-01-19";"FS116";"morning peak";1655;"Thursday";1
"2017-01-20";"FS116";"morning peak";1568;"Friday";1
"2017-01-23";"FS116";"morning peak";1656;"Monday";1
"2017-01-24";"FS116";"morning peak";1696;"Tuesday";1
"2017-01-25";"FS116";"morning peak";NA;"Wednesday";1
"2017-01-26";"FS116";"morning peak";1752;"Thursday";1
"2017-01-27";"FS116";"morning peak";1743;"Friday";1
"2017-01-30";"FS116";"morning peak";1614;"Monday";1
"2017-01-31";"FS116";"morning peak";1718;"Tuesday";1
"2017-02-01";"FS116";"morning peak";1763;"Wednesday";1
"2017-02-02";"FS116";"morning peak";1801;"Thursday";2
"2017-02-03";"FS116";"morning peak";NA;"Friday";2
"2017-02-06";"FS116";"morning peak";1801;"Monday";2
"2017-02-07";"FS116";"morning peak";1798;"Tuesday";2
"2017-02-08";"FS116";"morning peak";1750;"Wednesday";2
"2017-02-09";"FS116";"morning peak";1816;"Thursday";2
"2017-02-10";"FS116";"morning peak";1859;"Friday";2
"2017-02-13";"FS116";"morning peak";NA;"Monday";2
"2017-02-14";"FS116";"morning peak";1792;"Tuesday";2
"2017-02-15";"FS116";"morning peak";1740;"Wednesday";2
"2017-02-16";"FS116";"morning peak";1767;"Thursday";2
"2017-02-17";"FS116";"morning peak";1769;"Friday";2
"2017-02-20";"FS116";"morning peak";NA;"Monday";2
"2017-02-21";"FS116";"morning peak";1834;"Tuesday";2
"2017-02-22";"FS116";"morning peak";1734;"Wednesday";2
"2017-02-23";"FS116";"morning peak";1698;"Thursday";2
"2017-02-24";"FS116";"morning peak";NA;"Friday";2
"2017-02-27";"FS116";"morning peak";NA;"Monday";2
"2017-02-28";"FS116";"morning peak";NA;"Tuesday";2
"2017-03-01";"FS116";"morning peak";NA;"Wednesday";2
"2017-03-02";"FS116";"morning peak";1694;"Thursday";3
"2017-03-03";"FS116";"morning peak";NA;"Friday";3
"2017-03-06";"FS116";"morning peak";NA;"Monday";3
"2017-03-07";"FS116";"morning peak";1803;"Tuesday";3
"2017-03-08";"FS116";"morning peak";1879;"Wednesday";3
"2017-03-09";"FS116";"morning peak";1799;"Thursday";3
"2017-03-10";"FS116";"morning peak";1841;"Friday";3
"2017-03-13";"FS116";"morning peak";1858;"Monday";3
"2017-03-14";"FS116";"morning peak";1828;"Tuesday";3
"2017-03-15";"FS116";"morning peak";1870;"Wednesday";3
"2017-03-16";"FS116";"morning peak";1864;"Thursday";3
"2017-03-17";"FS116";"morning peak";1868;"Friday";3
"2017-03-20";"FS116";"morning peak";1775;"Monday";3
"2017-03-21";"FS116";"morning peak";1741;"Tuesday";3
"2017-03-22";"FS116";"morning peak";1816;"Wednesday";3
"2017-03-23";"FS116";"morning peak";1629;"Thursday";3
"2017-03-24";"FS116";"morning peak";1468;"Friday";3
"2017-03-27";"FS116";"morning peak";1768;"Monday";3
"2017-03-28";"FS116";"morning peak";1836;"Tuesday";3
"2017-03-29";"FS116";"morning peak";1665;"Wednesday";3
"2017-03-30";"FS116";"morning peak";1838;"Thursday";3
"2017-03-31";"FS116";"morning peak";1799;"Friday";3
"2017-04-03";"FS116";"morning peak";1534;"Monday";4
"2017-04-04";"FS116";"morning peak";1352;"Tuesday";4
"2017-04-05";"FS116";"morning peak";2082;"Wednesday";4
"2017-04-06";"FS116";"morning peak";2199;"Thursday";4
"2017-04-07";"FS116";"morning peak";2167;"Friday";4
"2017-04-10";"FS116";"morning peak";2106;"Monday";4
"2017-04-11";"FS116";"morning peak";NA;"Tuesday";4
"2017-04-12";"FS116";"morning peak";2077;"Wednesday";4
"2017-04-13";"FS116";"morning peak";NA;"Thursday";4
"2017-04-14";"FS116";"morning peak";NA;"Friday";4
"2017-04-17";"FS116";"morning peak";2090;"Monday";4
"2017-04-18";"FS116";"morning peak";2155;"Tuesday";4
"2017-04-19";"FS116";"morning peak";2093;"Wednesday";4
"2017-04-20";"FS116";"morning peak";2286;"Thursday";4
"2017-04-21";"FS116";"morning peak";NA;"Friday";4
