"DAY";"SENSOR_ID";"PERIOD";"VOLUME";"WEEKDAY";"MONTH"
"2017-01-02";"AT092";"morning peak";810;"Monday";1
"2017-01-03";"AT092";"morning peak";940;"Tuesday";1
"2017-01-04";"AT092";"morning peak";883;"Wednesday";1
"2017-01-05";"AT092";"morning peak";854;"Thursday";1
"2017-01-06";"AT092";"morning peak";850;"Friday";1
"2017-01-09";"AT092";"morning peak";944;"Monday";1
"2017-01-10";"AT092";"morning peak";915;"Tuesday";1
"2017-01-11";"AT092";"morning peak";NA;"Wednesday";1
"2017-01-12";"AT092";"morning peak";828;"Thursday";1
"2017-01-13";"AT092";"morning peak";939;"Friday";1
"2017-01-16";"AT092";"morning peak";921;"Monday";1
"2017-01-17";"AT092";"morning peak";926;"Tuesday";1
"2017-01-18";"AT092";"morning peak";936;"Wednesday";1
"2017-01-19";"AT092";"morning peak";911;"Thursday";1
"2017-01-20";"AT092";"morning peak";898;"Friday";1
"2017-01-23";"AT092";"morning peak";998;"Monday";1
"2017-01-24";"AT092";"morning peak";1009;"Tuesday";1
"2017-01-25";"AT092";"morning peak";991;"Wednesday";1
"2017-01-26";"AT092";"morning peak";991;"Thursday";1
"2017-01-27";"AT092";"morning peak";1003;"Friday";1
"2017-01-30";"AT092";"morning peak";1008;"Monday";1
"2017-01-31";"AT092";"morning peak";922;"Tuesday";1
"2017-02-01";"AT092";"morning peak";1006;"Wednesday";1
"2017-02-02";"AT092";"morning peak";1001;"Thursday";2
"2017-02-03";"AT092";"morning peak";1020;"Friday";2
"2017-02-06";"AT092";"morning peak";1070;"Monday";2
"2017-02-07";"AT092";"morning peak";928;"Tuesday";2
"2017-02-08";"AT092";"morning peak";994;"Wednesday";2
"2017-02-09";"AT092";"morning peak";1013;"Thursday";2
"2017-02-10";"AT092";"morning peak";1016;"Friday";2
"2017-02-13";"AT092";"morning peak";1031;"Monday";2
"2017-02-14";"AT092";"morning peak";933;"Tuesday";2
"2017-02-15";"AT092";"morning peak";1001;"Wednesday";2
"2017-02-16";"AT092";"morning peak";1025;"Thursday";2
"2017-02-17";"AT092";"morning peak";860;"Friday";2
"2017-02-20";"AT092";"morning peak";962;"Monday";2
"2017-02-21";"AT092";"morning peak";920;"Tuesday";2
"2017-02-22";"AT092";"morning peak";971;"Wednesday";2
"2017-02-23";"AT092";"morning peak";961;"Thursday";2
"2017-02-24";"AT092";"morning peak";994;"Friday";2
"2017-02-27";"AT092";"morning peak";NA;"Monday";2
"2017-02-28";"AT092";"morning peak";NA;"Tuesday";2
"2017-03-01";"AT092";"morning peak";NA;"Wednesday";2
"2017-03-02";"AT092";"morning peak";903;"Thursday";3
"2017-03-03";"AT092";"morning peak";811;"Friday";3
"2017-03-06";"AT092";"morning peak";NA;"Monday";3
"2017-03-07";"AT092";"morning peak";NA;"Tuesday";3
"2017-03-08";"AT092";"morning peak";1010;"Wednesday";3
"2017-03-09";"AT092";"morning peak";807;"Thursday";3
"2017-03-10";"AT092";"morning peak";951;"Friday";3
"2017-03-13";"AT092";"morning peak";1079;"Monday";3
"2017-03-14";"AT092";"morning peak";1041;"Tuesday";3
"2017-03-15";"AT092";"morning peak";1020;"Wednesday";3
"2017-03-16";"AT092";"morning peak";948;"Thursday";3
"2017-03-17";"AT092";"morning peak";965;"Friday";3
"2017-03-20";"AT092";"morning peak";1044;"Monday";3
"2017-03-21";"AT092";"morning peak";1085;"Tuesday";3
"2017-03-22";"AT092";"morning peak";1038;"Wednesday";3
"2017-03-23";"AT092";"morning peak";983;"Thursday";3
"2017-03-24";"AT092";"morning peak";936;"Friday";3
"2017-03-27";"AT092";"morning peak";1059;"Monday";3
"2017-03-28";"AT092";"morning peak";1063;"Tuesday";3
"2017-03-29";"AT092";"morning peak";1051;"Wednesday";3
"2017-03-30";"AT092";"morning peak";1045;"Thursday";3
"2017-03-31";"AT092";"morning peak";1004;"Friday";3
"2017-04-03";"AT092";"morning peak";1054;"Monday";4
"2017-04-04";"AT092";"morning peak";1003;"Tuesday";4
"2017-04-05";"AT092";"morning peak";974;"Wednesday";4
"2017-04-06";"AT092";"morning peak";964;"Thursday";4
"2017-04-07";"AT092";"morning peak";1013;"Friday";4
"2017-04-10";"AT092";"morning peak";NA;"Monday";4
"2017-04-11";"AT092";"morning peak";NA;"Tuesday";4
"2017-04-12";"AT092";"morning peak";1050;"Wednesday";4
"2017-04-13";"AT092";"morning peak";NA;"Thursday";4
"2017-04-14";"AT092";"morning peak";NA;"Friday";4
"2017-04-17";"AT092";"morning peak";1089;"Monday";4
"2017-04-18";"AT092";"morning peak";1048;"Tuesday";4
"2017-04-19";"AT092";"morning peak";1050;"Wednesday";4
"2017-04-20";"AT092";"morning peak";1107;"Thursday";4
"2017-04-21";"AT092";"morning peak";NA;"Friday";4
"2017-04-24";"AT092";"morning peak";1009;"Monday";4
"2017-04-25";"AT092";"morning peak";1037;"Tuesday";4
"2017-04-26";"AT092";"morning peak";NA;"Wednesday";4
"2017-04-27";"AT092";"morning peak";1016;"Thursday";4
"2017-04-28";"AT092";"morning peak";NA;"Friday";4
"2017-05-01";"AT092";"morning peak";NA;"Monday";4
"2017-05-02";"AT092";"morning peak";1051;"Tuesday";5
"2017-05-03";"AT092";"morning peak";1060;"Wednesday";5
"2017-05-04";"AT092";"morning peak";988;"Thursday";5
"2017-05-05";"AT092";"morning peak";1057;"Friday";5
"2017-05-08";"AT092";"morning peak";1003;"Monday";5
"2017-05-09";"AT092";"morning peak";1003;"Tuesday";5
"2017-05-10";"AT092";"morning peak";1009;"Wednesday";5
"2017-05-11";"AT092";"morning peak";984;"Thursday";5
"2017-05-12";"AT092";"morning peak";986;"Friday";5
"2017-05-15";"AT092";"morning peak";1094;"Monday";5
"2017-05-16";"AT092";"morning peak";1029;"Tuesday";5
"2017-05-17";"AT092";"morning peak";1048;"Wednesday";5
"2017-05-18";"AT092";"morning peak";1066;"Thursday";5
"2017-05-19";"AT092";"morning peak";1059;"Friday";5
"2017-05-22";"AT092";"morning peak";1067;"Monday";5
"2017-05-23";"AT092";"morning peak";1071;"Tuesday";5
"2017-05-24";"AT092";"morning peak";1055;"Wednesday";5
"2017-05-25";"AT092";"morning peak";1042;"Thursday";5
"2017-05-26";"AT092";"morning peak";1023;"Friday";5
"2017-05-29";"AT092";"morning peak";952;"Monday";5
"2017-05-30";"AT092";"morning peak";1016;"Tuesday";5
"2017-05-31";"AT092";"morning peak";1015;"Wednesday";5
"2017-06-01";"AT092";"morning peak";1064;"Thursday";5
"2017-06-02";"AT092";"morning peak";1029;"Friday";6
"2017-06-05";"AT092";"morning peak";1080;"Monday";6
"2017-06-06";"AT092";"morning peak";1090;"Tuesday";6
"2017-06-07";"AT092";"morning peak";1060;"Wednesday";6
"2017-06-08";"AT092";"morning peak";1032;"Thursday";6
"2017-06-09";"AT092";"morning peak";1017;"Friday";6
"2017-06-12";"AT092";"morning peak";1091;"Monday";6
"2017-06-13";"AT092";"morning peak";1111;"Tuesday";6
"2017-06-14";"AT092";"morning peak";1072;"Wednesday";6
"2017-06-15";"AT092";"morning peak";NA;"Thursday";6
"2017-06-16";"AT092";"morning peak";943;"Friday";6
"2017-06-19";"AT092";"morning peak";1064;"Monday";6
"2017-06-20";"AT092";"morning peak";1033;"Tuesday";6
"2017-06-21";"AT092";"morning peak";1030;"Wednesday";6
"2017-06-22";"AT092";"morning peak";1070;"Thursday";6
"2017-06-23";"AT092";"morning peak";1035;"Friday";6
"2017-06-26";"AT092";"morning peak";1087;"Monday";6
"2017-06-27";"AT092";"morning peak";1085;"Tuesday";6
"2017-06-28";"AT092";"morning peak";1039;"Wednesday";6
"2017-06-29";"AT092";"morning peak";1046;"Thursday";6
"2017-06-30";"AT092";"morning peak";NA;"Friday";6
"2017-07-03";"AT092";"morning peak";997;"Monday";7
"2017-07-04";"AT092";"morning peak";943;"Tuesday";7
"2017-07-05";"AT092";"morning peak";944;"Wednesday";7
"2017-07-06";"AT092";"morning peak";920;"Thursday";7
"2017-07-07";"AT092";"morning peak";921;"Friday";7
"2017-07-10";"AT092";"morning peak";952;"Monday";7
"2017-07-11";"AT092";"morning peak";923;"Tuesday";7
"2017-07-12";"AT092";"morning peak";905;"Wednesday";7
"2017-07-13";"AT092";"morning peak";935;"Thursday";7
"2017-07-14";"AT092";"morning peak";914;"Friday";7
"2017-07-17";"AT092";"morning peak";884;"Monday";7
"2017-07-18";"AT092";"morning peak";896;"Tuesday";7
"2017-07-19";"AT092";"morning peak";844;"Wednesday";7
"2017-07-20";"AT092";"morning peak";777;"Thursday";7
"2017-07-21";"AT092";"morning peak";761;"Friday";7
"2017-07-24";"AT092";"morning peak";838;"Monday";7
"2017-07-25";"AT092";"morning peak";830;"Tuesday";7
"2017-07-26";"AT092";"morning peak";805;"Wednesday";7
"2017-07-27";"AT092";"morning peak";815;"Thursday";7
"2017-07-28";"AT092";"morning peak";834;"Friday";7
"2017-07-31";"AT092";"morning peak";861;"Monday";7
"2017-08-01";"AT092";"morning peak";933;"Tuesday";7
"2017-08-02";"AT092";"morning peak";950;"Wednesday";8
"2017-08-03";"AT092";"morning peak";947;"Thursday";8
"2017-08-04";"AT092";"morning peak";944;"Friday";8
"2017-08-07";"AT092";"morning peak";937;"Monday";8
"2017-08-08";"AT092";"morning peak";952;"Tuesday";8
"2017-08-09";"AT092";"morning peak";938;"Wednesday";8
"2017-08-10";"AT092";"morning peak";957;"Thursday";8
"2017-08-11";"AT092";"morning peak";929;"Friday";8
"2017-08-14";"AT092";"morning peak";832;"Monday";8
"2017-08-15";"AT092";"morning peak";NA;"Tuesday";8
"2017-08-16";"AT092";"morning peak";1029;"Wednesday";8
"2017-08-17";"AT092";"morning peak";990;"Thursday";8
"2017-08-18";"AT092";"morning peak";1018;"Friday";8
"2017-08-21";"AT092";"morning peak";1056;"Monday";8
"2017-08-22";"AT092";"morning peak";1048;"Tuesday";8
"2017-08-23";"AT092";"morning peak";1002;"Wednesday";8
"2017-08-24";"AT092";"morning peak";1009;"Thursday";8
"2017-08-25";"AT092";"morning peak";NA;"Friday";8
"2017-08-28";"AT092";"morning peak";1066;"Monday";8
"2017-08-29";"AT092";"morning peak";1062;"Tuesday";8
"2017-08-30";"AT092";"morning peak";1020;"Wednesday";8
"2017-08-31";"AT092";"morning peak";1029;"Thursday";8
"2017-09-01";"AT092";"morning peak";1044;"Friday";8
"2017-09-04";"AT092";"morning peak";NA;"Monday";9
"2017-09-05";"AT092";"morning peak";1079;"Tuesday";9
"2017-09-06";"AT092";"morning peak";1002;"Wednesday";9
"2017-09-07";"AT092";"morning peak";NA;"Thursday";9
"2017-09-08";"AT092";"morning peak";856;"Friday";9
"2017-09-11";"AT092";"morning peak";1095;"Monday";9
"2017-09-12";"AT092";"morning peak";1068;"Tuesday";9
"2017-09-13";"AT092";"morning peak";1065;"Wednesday";9
"2017-09-14";"AT092";"morning peak";1032;"Thursday";9
"2017-09-15";"AT092";"morning peak";1037;"Friday";9
"2017-09-18";"AT092";"morning peak";NA;"Monday";9
"2017-09-19";"AT092";"morning peak";1039;"Tuesday";9
"2017-09-20";"AT092";"morning peak";1037;"Wednesday";9
"2017-09-21";"AT092";"morning peak";1028;"Thursday";9
"2017-09-22";"AT092";"morning peak";NA;"Friday";9
"2017-09-25";"AT092";"morning peak";NA;"Monday";9
"2017-09-26";"AT092";"morning peak";NA;"Tuesday";9
"2017-09-27";"AT092";"morning peak";NA;"Wednesday";9
"2017-09-28";"AT092";"morning peak";NA;"Thursday";9
"2017-09-29";"AT092";"morning peak";1027;"Friday";9
"2017-10-02";"AT092";"morning peak";NA;"Monday";10
"2017-10-03";"AT092";"morning peak";1224;"Tuesday";10
"2017-10-04";"AT092";"morning peak";NA;"Wednesday";10
"2017-10-05";"AT092";"morning peak";1069;"Thursday";10
"2017-10-06";"AT092";"morning peak";1061;"Friday";10
"2017-10-09";"AT092";"morning peak";1114;"Monday";10
"2017-10-10";"AT092";"morning peak";1062;"Tuesday";10
"2017-10-11";"AT092";"morning peak";1039;"Wednesday";10
"2017-10-12";"AT092";"morning peak";NA;"Thursday";10
"2017-10-13";"AT092";"morning peak";904;"Friday";10
"2017-10-16";"AT092";"morning peak";1057;"Monday";10
"2017-10-17";"AT092";"morning peak";1049;"Tuesday";10
"2017-10-18";"AT092";"morning peak";NA;"Wednesday";10
"2017-10-19";"AT092";"morning peak";1036;"Thursday";10
"2017-10-20";"AT092";"morning peak";1029;"Friday";10
"2017-10-23";"AT092";"morning peak";1061;"Monday";10
"2017-10-24";"AT092";"morning peak";1052;"Tuesday";10
"2017-10-25";"AT092";"morning peak";1032;"Wednesday";10
"2017-10-26";"AT092";"morning peak";NA;"Thursday";10
"2017-10-27";"AT092";"morning peak";1020;"Friday";10
"2017-10-30";"AT092";"morning peak";1046;"Monday";10
"2017-10-31";"AT092";"morning peak";1047;"Tuesday";10
"2017-11-01";"AT092";"morning peak";1076;"Wednesday";10
"2017-11-02";"AT092";"morning peak";NA;"Thursday";11
"2017-11-03";"AT092";"morning peak";884;"Friday";11
"2017-11-06";"AT092";"morning peak";1123;"Monday";11
"2017-11-07";"AT092";"morning peak";1061;"Tuesday";11
"2017-11-08";"AT092";"morning peak";1028;"Wednesday";11
"2017-11-09";"AT092";"morning peak";1095;"Thursday";11
"2017-11-10";"AT092";"morning peak";1058;"Friday";11
"2017-11-13";"AT092";"morning peak";1084;"Monday";11
"2017-11-14";"AT092";"morning peak";NA;"Tuesday";11
"2017-11-15";"AT092";"morning peak";NA;"Wednesday";11
"2017-11-16";"AT092";"morning peak";1047;"Thursday";11
"2017-11-17";"AT092";"morning peak";NA;"Friday";11
"2017-11-20";"AT092";"morning peak";1075;"Monday";11
"2017-11-21";"AT092";"morning peak";1030;"Tuesday";11
"2017-11-22";"AT092";"morning peak";1033;"Wednesday";11
"2017-11-23";"AT092";"morning peak";1025;"Thursday";11
"2017-11-24";"AT092";"morning peak";1016;"Friday";11
"2017-11-27";"AT092";"morning peak";997;"Monday";11
"2017-11-28";"AT092";"morning peak";1005;"Tuesday";11
