"DAY";"SENSOR_ID";"PERIOD";"VOLUME";"WEEKDAY";"MONTH"
"2017-01-02";"01385118";"morning peak";670;"Monday";1
"2017-01-03";"01385118";"morning peak";733;"Tuesday";1
"2017-01-04";"01385118";"morning peak";686;"Wednesday";1
"2017-01-05";"01385118";"morning peak";691;"Thursday";1
"2017-01-06";"01385118";"morning peak";670;"Friday";1
"2017-01-09";"01385118";"morning peak";718;"Monday";1
"2017-01-10";"01385118";"morning peak";737;"Tuesday";1
"2017-01-11";"01385118";"morning peak";708;"Wednesday";1
"2017-01-12";"01385118";"morning peak";714;"Thursday";1
"2017-01-13";"01385118";"morning peak";735;"Friday";1
"2017-01-16";"01385118";"morning peak";NA;"Monday";1
"2017-01-17";"01385118";"morning peak";744;"Tuesday";1
"2017-01-18";"01385118";"morning peak";695;"Wednesday";1
"2017-01-19";"01385118";"morning peak";746;"Thursday";1
"2017-01-20";"01385118";"morning peak";NA;"Friday";1
"2017-01-23";"01385118";"morning peak";740;"Monday";1
"2017-01-24";"01385118";"morning peak";762;"Tuesday";1
"2017-01-25";"01385118";"morning peak";772;"Wednesday";1
"2017-01-26";"01385118";"morning peak";752;"Thursday";1
"2017-01-27";"01385118";"morning peak";796;"Friday";1
"2017-01-30";"01385118";"morning peak";796;"Monday";1
"2017-01-31";"01385118";"morning peak";723;"Tuesday";1
"2017-02-01";"01385118";"morning peak";770;"Wednesday";1
"2017-02-02";"01385118";"morning peak";825;"Thursday";2
"2017-02-03";"01385118";"morning peak";775;"Friday";2
"2017-02-06";"01385118";"morning peak";826;"Monday";2
"2017-02-07";"01385118";"morning peak";820;"Tuesday";2
"2017-02-08";"01385118";"morning peak";827;"Wednesday";2
"2017-02-09";"01385118";"morning peak";820;"Thursday";2
"2017-02-10";"01385118";"morning peak";771;"Friday";2
"2017-02-13";"01385118";"morning peak";NA;"Monday";2
"2017-02-14";"01385118";"morning peak";810;"Tuesday";2
"2017-02-15";"01385118";"morning peak";NA;"Wednesday";2
"2017-02-16";"01385118";"morning peak";810;"Thursday";2
"2017-02-17";"01385118";"morning peak";734;"Friday";2
"2017-02-20";"01385118";"morning peak";789;"Monday";2
"2017-02-21";"01385118";"morning peak";797;"Tuesday";2
"2017-02-22";"01385118";"morning peak";806;"Wednesday";2
"2017-02-23";"01385118";"morning peak";NA;"Thursday";2
"2017-02-24";"01385118";"morning peak";791;"Friday";2
"2017-02-27";"01385118";"morning peak";NA;"Monday";2
"2017-02-28";"01385118";"morning peak";NA;"Tuesday";2
"2017-03-01";"01385118";"morning peak";NA;"Wednesday";2
"2017-03-02";"01385118";"morning peak";759;"Thursday";3
"2017-03-03";"01385118";"morning peak";684;"Friday";3
"2017-03-06";"01385118";"morning peak";802;"Monday";3
"2017-03-07";"01385118";"morning peak";814;"Tuesday";3
"2017-03-08";"01385118";"morning peak";810;"Wednesday";3
"2017-03-09";"01385118";"morning peak";653;"Thursday";3
"2017-03-10";"01385118";"morning peak";NA;"Friday";3
"2017-03-13";"01385118";"morning peak";784;"Monday";3
"2017-03-14";"01385118";"morning peak";811;"Tuesday";3
"2017-03-15";"01385118";"morning peak";741;"Wednesday";3
"2017-03-16";"01385118";"morning peak";786;"Thursday";3
"2017-03-17";"01385118";"morning peak";753;"Friday";3
