"DAY";"SENSOR_ID";"PERIOD";"VOLUME";"WEEKDAY";"MONTH"
"2017-01-02";"01385206";"morning peak";NA;"Monday";1
"2017-01-03";"01385206";"morning peak";856;"Tuesday";1
"2017-01-04";"01385206";"morning peak";816;"Wednesday";1
"2017-01-05";"01385206";"morning peak";830;"Thursday";1
"2017-01-06";"01385206";"morning peak";807;"Friday";1
"2017-01-09";"01385206";"morning peak";866;"Monday";1
"2017-01-10";"01385206";"morning peak";889;"Tuesday";1
"2017-01-11";"01385206";"morning peak";809;"Wednesday";1
"2017-01-12";"01385206";"morning peak";830;"Thursday";1
"2017-01-13";"01385206";"morning peak";862;"Friday";1
"2017-01-16";"01385206";"morning peak";870;"Monday";1
"2017-01-17";"01385206";"morning peak";930;"Tuesday";1
"2017-01-18";"01385206";"morning peak";875;"Wednesday";1
"2017-01-19";"01385206";"morning peak";927;"Thursday";1
"2017-01-20";"01385206";"morning peak";904;"Friday";1
"2017-01-23";"01385206";"morning peak";945;"Monday";1
"2017-01-24";"01385206";"morning peak";967;"Tuesday";1
"2017-01-25";"01385206";"morning peak";946;"Wednesday";1
"2017-01-26";"01385206";"morning peak";926;"Thursday";1
"2017-01-27";"01385206";"morning peak";NA;"Friday";1
"2017-01-30";"01385206";"morning peak";977;"Monday";1
"2017-01-31";"01385206";"morning peak";875;"Tuesday";1
"2017-02-01";"01385206";"morning peak";NA;"Wednesday";1
"2017-02-02";"01385206";"morning peak";990;"Thursday";2
"2017-02-03";"01385206";"morning peak";973;"Friday";2
"2017-02-06";"01385206";"morning peak";1003;"Monday";2
"2017-02-07";"01385206";"morning peak";950;"Tuesday";2
"2017-02-08";"01385206";"morning peak";976;"Wednesday";2
"2017-02-09";"01385206";"morning peak";989;"Thursday";2
"2017-02-10";"01385206";"morning peak";970;"Friday";2
"2017-02-13";"01385206";"morning peak";962;"Monday";2
"2017-02-14";"01385206";"morning peak";973;"Tuesday";2
"2017-02-15";"01385206";"morning peak";968;"Wednesday";2
"2017-02-16";"01385206";"morning peak";1015;"Thursday";2
"2017-02-17";"01385206";"morning peak";958;"Friday";2
"2017-02-20";"01385206";"morning peak";960;"Monday";2
"2017-02-21";"01385206";"morning peak";988;"Tuesday";2
"2017-02-22";"01385206";"morning peak";950;"Wednesday";2
"2017-02-23";"01385206";"morning peak";1020;"Thursday";2
"2017-02-24";"01385206";"morning peak";997;"Friday";2
"2017-02-27";"01385206";"morning peak";NA;"Monday";2
"2017-02-28";"01385206";"morning peak";NA;"Tuesday";2
"2017-03-01";"01385206";"morning peak";NA;"Wednesday";2
"2017-03-02";"01385206";"morning peak";931;"Thursday";3
"2017-03-03";"01385206";"morning peak";856;"Friday";3
"2017-03-06";"01385206";"morning peak";995;"Monday";3
"2017-03-07";"01385206";"morning peak";NA;"Tuesday";3
"2017-03-08";"01385206";"morning peak";957;"Wednesday";3
"2017-03-09";"01385206";"morning peak";NA;"Thursday";3
"2017-03-10";"01385206";"morning peak";917;"Friday";3
"2017-03-13";"01385206";"morning peak";988;"Monday";3
"2017-03-14";"01385206";"morning peak";981;"Tuesday";3
"2017-03-15";"01385206";"morning peak";912;"Wednesday";3
"2017-03-16";"01385206";"morning peak";968;"Thursday";3
"2017-03-17";"01385206";"morning peak";925;"Friday";3
"2017-03-20";"01385206";"morning peak";964;"Monday";3
"2017-03-21";"01385206";"morning peak";994;"Tuesday";3
"2017-03-22";"01385206";"morning peak";951;"Wednesday";3
"2017-03-23";"01385206";"morning peak";879;"Thursday";3
"2017-03-24";"01385206";"morning peak";900;"Friday";3
"2017-03-27";"01385206";"morning peak";964;"Monday";3
"2017-03-28";"01385206";"morning peak";989;"Tuesday";3
"2017-03-29";"01385206";"morning peak";945;"Wednesday";3
"2017-03-30";"01385206";"morning peak";969;"Thursday";3
"2017-03-31";"01385206";"morning peak";968;"Friday";3
"2017-04-03";"01385206";"morning peak";978;"Monday";4
"2017-04-04";"01385206";"morning peak";970;"Tuesday";4
"2017-04-05";"01385206";"morning peak";918;"Wednesday";4
"2017-04-06";"01385206";"morning peak";981;"Thursday";4
"2017-04-07";"01385206";"morning peak";979;"Friday";4
"2017-04-10";"01385206";"morning peak";974;"Monday";4
"2017-04-11";"01385206";"morning peak";898;"Tuesday";4
"2017-04-12";"01385206";"morning peak";NA;"Wednesday";4
