"DAY";"SENSOR_ID";"PERIOD";"VOLUME";"WEEKDAY";"MONTH"
"2017-01-02";"FS104";"morning peak";340;"Monday";1
"2017-01-03";"FS104";"morning peak";382;"Tuesday";1
"2017-01-04";"FS104";"morning peak";408;"Wednesday";1
"2017-01-05";"FS104";"morning peak";380;"Thursday";1
"2017-01-06";"FS104";"morning peak";409;"Friday";1
"2017-01-09";"FS104";"morning peak";470;"Monday";1
"2017-01-10";"FS104";"morning peak";463;"Tuesday";1
"2017-01-11";"FS104";"morning peak";409;"Wednesday";1
"2017-01-12";"FS104";"morning peak";405;"Thursday";1
"2017-01-13";"FS104";"morning peak";448;"Friday";1
"2017-01-16";"FS104";"morning peak";483;"Monday";1
"2017-01-17";"FS104";"morning peak";NA;"Tuesday";1
"2017-01-18";"FS104";"morning peak";522;"Wednesday";1
"2017-01-19";"FS104";"morning peak";467;"Thursday";1
"2017-01-20";"FS104";"morning peak";497;"Friday";1
"2017-01-23";"FS104";"morning peak";NA;"Monday";1
"2017-01-24";"FS104";"morning peak";573;"Tuesday";1
"2017-01-25";"FS104";"morning peak";557;"Wednesday";1
"2017-01-26";"FS104";"morning peak";539;"Thursday";1
"2017-01-27";"FS104";"morning peak";529;"Friday";1
"2017-01-30";"FS104";"morning peak";533;"Monday";1
"2017-01-31";"FS104";"morning peak";528;"Tuesday";1
"2017-02-01";"FS104";"morning peak";756;"Wednesday";1
"2017-02-02";"FS104";"morning peak";708;"Thursday";2
"2017-02-03";"FS104";"morning peak";686;"Friday";2
"2017-02-06";"FS104";"morning peak";699;"Monday";2
"2017-02-07";"FS104";"morning peak";747;"Tuesday";2
"2017-02-08";"FS104";"morning peak";720;"Wednesday";2
"2017-02-09";"FS104";"morning peak";765;"Thursday";2
"2017-02-10";"FS104";"morning peak";682;"Friday";2
"2017-02-13";"FS104";"morning peak";683;"Monday";2
"2017-02-14";"FS104";"morning peak";688;"Tuesday";2
"2017-02-15";"FS104";"morning peak";731;"Wednesday";2
"2017-02-16";"FS104";"morning peak";737;"Thursday";2
"2017-02-17";"FS104";"morning peak";550;"Friday";2
"2017-02-20";"FS104";"morning peak";618;"Monday";2
"2017-02-21";"FS104";"morning peak";687;"Tuesday";2
"2017-02-22";"FS104";"morning peak";579;"Wednesday";2
"2017-02-23";"FS104";"morning peak";705;"Thursday";2
"2017-02-24";"FS104";"morning peak";646;"Friday";2
"2017-02-27";"FS104";"morning peak";NA;"Monday";2
