"DAY";"SENSOR_ID";"PERIOD";"VOLUME";"WEEKDAY";"MONTH"
"2017-01-02";"FS063";"morning peak";NA;"Monday";1
"2017-01-03";"FS063";"morning peak";1184;"Tuesday";1
"2017-01-04";"FS063";"morning peak";1651;"Wednesday";1
"2017-01-05";"FS063";"morning peak";1593;"Thursday";1
"2017-01-06";"FS063";"morning peak";964;"Friday";1
"2017-01-09";"FS063";"morning peak";1787;"Monday";1
"2017-01-10";"FS063";"morning peak";1772;"Tuesday";1
"2017-01-11";"FS063";"morning peak";1730;"Wednesday";1
"2017-01-12";"FS063";"morning peak";1673;"Thursday";1
"2017-01-13";"FS063";"morning peak";1779;"Friday";1
"2017-01-16";"FS063";"morning peak";1706;"Monday";1
"2017-01-17";"FS063";"morning peak";1798;"Tuesday";1
"2017-01-18";"FS063";"morning peak";1705;"Wednesday";1
"2017-01-19";"FS063";"morning peak";1797;"Thursday";1
"2017-01-20";"FS063";"morning peak";1779;"Friday";1
"2017-01-23";"FS063";"morning peak";1722;"Monday";1
"2017-01-24";"FS063";"morning peak";1831;"Tuesday";1
"2017-01-25";"FS063";"morning peak";NA;"Wednesday";1
"2017-01-26";"FS063";"morning peak";1263;"Thursday";1
"2017-01-27";"FS063";"morning peak";1881;"Friday";1
"2017-01-30";"FS063";"morning peak";1268;"Monday";1
"2017-01-31";"FS063";"morning peak";NA;"Tuesday";1
"2017-02-01";"FS063";"morning peak";1907;"Wednesday";1
"2017-02-02";"FS063";"morning peak";1925;"Thursday";2
"2017-02-03";"FS063";"morning peak";1917;"Friday";2
"2017-02-06";"FS063";"morning peak";NA;"Monday";2
"2017-02-07";"FS063";"morning peak";1840;"Tuesday";2
"2017-02-08";"FS063";"morning peak";1814;"Wednesday";2
"2017-02-09";"FS063";"morning peak";1313;"Thursday";2
"2017-02-10";"FS063";"morning peak";1910;"Friday";2
"2017-02-13";"FS063";"morning peak";1133;"Monday";2
"2017-02-14";"FS063";"morning peak";1866;"Tuesday";2
"2017-02-15";"FS063";"morning peak";1812;"Wednesday";2
"2017-02-16";"FS063";"morning peak";1873;"Thursday";2
"2017-02-17";"FS063";"morning peak";1821;"Friday";2
"2017-02-20";"FS063";"morning peak";1755;"Monday";2
"2017-02-21";"FS063";"morning peak";NA;"Tuesday";2
"2017-02-22";"FS063";"morning peak";1858;"Wednesday";2
"2017-02-23";"FS063";"morning peak";1778;"Thursday";2
"2017-02-24";"FS063";"morning peak";1888;"Friday";2
"2017-02-27";"FS063";"morning peak";NA;"Monday";2
"2017-02-28";"FS063";"morning peak";NA;"Tuesday";2
"2017-03-01";"FS063";"morning peak";NA;"Wednesday";2
"2017-03-02";"FS063";"morning peak";1787;"Thursday";3
"2017-03-03";"FS063";"morning peak";1590;"Friday";3
"2017-03-06";"FS063";"morning peak";1927;"Monday";3
"2017-03-07";"FS063";"morning peak";1935;"Tuesday";3
"2017-03-08";"FS063";"morning peak";1866;"Wednesday";3
"2017-03-09";"FS063";"morning peak";NA;"Thursday";3
"2017-03-10";"FS063";"morning peak";984;"Friday";3
"2017-03-13";"FS063";"morning peak";1516;"Monday";3
"2017-03-14";"FS063";"morning peak";NA;"Tuesday";3
"2017-03-15";"FS063";"morning peak";1889;"Wednesday";3
"2017-03-16";"FS063";"morning peak";1891;"Thursday";3
"2017-03-17";"FS063";"morning peak";1891;"Friday";3
"2017-03-20";"FS063";"morning peak";1844;"Monday";3
"2017-03-21";"FS063";"morning peak";1013;"Tuesday";3
"2017-03-22";"FS063";"morning peak";1760;"Wednesday";3
"2017-03-23";"FS063";"morning peak";1686;"Thursday";3
"2017-03-24";"FS063";"morning peak";1127;"Friday";3
"2017-03-27";"FS063";"morning peak";1796;"Monday";3
"2017-03-28";"FS063";"morning peak";1914;"Tuesday";3
"2017-03-29";"FS063";"morning peak";1758;"Wednesday";3
"2017-03-30";"FS063";"morning peak";1878;"Thursday";3
"2017-03-31";"FS063";"morning peak";1766;"Friday";3
"2017-04-03";"FS063";"morning peak";1047;"Monday";4
"2017-04-04";"FS063";"morning peak";1012;"Tuesday";4
"2017-04-05";"FS063";"morning peak";1820;"Wednesday";4
"2017-04-06";"FS063";"morning peak";1943;"Thursday";4
"2017-04-07";"FS063";"morning peak";1850;"Friday";4
"2017-04-10";"FS063";"morning peak";1818;"Monday";4
"2017-04-11";"FS063";"morning peak";NA;"Tuesday";4
"2017-04-12";"FS063";"morning peak";NA;"Wednesday";4
"2017-04-13";"FS063";"morning peak";NA;"Thursday";4
"2017-04-14";"FS063";"morning peak";NA;"Friday";4
"2017-04-17";"FS063";"morning peak";1880;"Monday";4
"2017-04-18";"FS063";"morning peak";NA;"Tuesday";4
"2017-04-19";"FS063";"morning peak";1909;"Wednesday";4
"2017-04-20";"FS063";"morning peak";1882;"Thursday";4
"2017-04-21";"FS063";"morning peak";NA;"Friday";4
"2017-04-24";"FS063";"morning peak";NA;"Monday";4
"2017-04-25";"FS063";"morning peak";1882;"Tuesday";4
"2017-04-26";"FS063";"morning peak";1816;"Wednesday";4
"2017-04-27";"FS063";"morning peak";NA;"Thursday";4
"2017-04-28";"FS063";"morning peak";NA;"Friday";4
"2017-05-01";"FS063";"morning peak";NA;"Monday";4
"2017-05-02";"FS063";"morning peak";1827;"Tuesday";5
"2017-05-03";"FS063";"morning peak";1991;"Wednesday";5
"2017-05-04";"FS063";"morning peak";1013;"Thursday";5
"2017-05-05";"FS063";"morning peak";NA;"Friday";5
"2017-05-08";"FS063";"morning peak";1882;"Monday";5
"2017-05-09";"FS063";"morning peak";1006;"Tuesday";5
"2017-05-10";"FS063";"morning peak";1792;"Wednesday";5
"2017-05-11";"FS063";"morning peak";NA;"Thursday";5
"2017-05-12";"FS063";"morning peak";1026;"Friday";5
"2017-05-15";"FS063";"morning peak";1003;"Monday";5
