"DAY";"SENSOR_ID";"PERIOD";"VOLUME";"WEEKDAY";"MONTH"
"2017-01-02";"01385231";"morning peak";NA;"Monday";1
"2017-01-03";"01385231";"morning peak";1099;"Tuesday";1
"2017-01-04";"01385231";"morning peak";1123;"Wednesday";1
"2017-01-05";"01385231";"morning peak";1112;"Thursday";1
"2017-01-06";"01385231";"morning peak";1114;"Friday";1
"2017-01-09";"01385231";"morning peak";1199;"Monday";1
"2017-01-10";"01385231";"morning peak";1187;"Tuesday";1
"2017-01-11";"01385231";"morning peak";1199;"Wednesday";1
"2017-01-12";"01385231";"morning peak";1184;"Thursday";1
"2017-01-13";"01385231";"morning peak";1199;"Friday";1
"2017-01-16";"01385231";"morning peak";1215;"Monday";1
"2017-01-17";"01385231";"morning peak";1189;"Tuesday";1
"2017-01-18";"01385231";"morning peak";1199;"Wednesday";1
"2017-01-19";"01385231";"morning peak";1185;"Thursday";1
"2017-01-20";"01385231";"morning peak";1075;"Friday";1
"2017-01-23";"01385231";"morning peak";NA;"Monday";1
"2017-01-24";"01385231";"morning peak";1125;"Tuesday";1
"2017-01-25";"01385231";"morning peak";1139;"Wednesday";1
"2017-01-26";"01385231";"morning peak";1205;"Thursday";1
"2017-01-27";"01385231";"morning peak";1206;"Friday";1
"2017-01-30";"01385231";"morning peak";1214;"Monday";1
"2017-01-31";"01385231";"morning peak";1098;"Tuesday";1
"2017-02-01";"01385231";"morning peak";1203;"Wednesday";1
"2017-02-02";"01385231";"morning peak";1192;"Thursday";2
"2017-02-03";"01385231";"morning peak";1219;"Friday";2
"2017-02-06";"01385231";"morning peak";1234;"Monday";2
"2017-02-07";"01385231";"morning peak";1205;"Tuesday";2
"2017-02-08";"01385231";"morning peak";1218;"Wednesday";2
"2017-02-09";"01385231";"morning peak";1239;"Thursday";2
"2017-02-10";"01385231";"morning peak";1238;"Friday";2
"2017-02-13";"01385231";"morning peak";1235;"Monday";2
"2017-02-14";"01385231";"morning peak";1199;"Tuesday";2
"2017-02-15";"01385231";"morning peak";1217;"Wednesday";2
"2017-02-16";"01385231";"morning peak";1208;"Thursday";2
"2017-02-17";"01385231";"morning peak";1154;"Friday";2
"2017-02-20";"01385231";"morning peak";1175;"Monday";2
"2017-02-21";"01385231";"morning peak";1179;"Tuesday";2
"2017-02-22";"01385231";"morning peak";1193;"Wednesday";2
"2017-02-23";"01385231";"morning peak";1191;"Thursday";2
"2017-02-24";"01385231";"morning peak";1212;"Friday";2
"2017-02-27";"01385231";"morning peak";NA;"Monday";2
"2017-02-28";"01385231";"morning peak";NA;"Tuesday";2
"2017-03-01";"01385231";"morning peak";NA;"Wednesday";2
"2017-03-02";"01385231";"morning peak";1177;"Thursday";3
"2017-03-03";"01385231";"morning peak";1030;"Friday";3
"2017-03-06";"01385231";"morning peak";1247;"Monday";3
"2017-03-07";"01385231";"morning peak";1172;"Tuesday";3
"2017-03-08";"01385231";"morning peak";1183;"Wednesday";3
"2017-03-09";"01385231";"morning peak";1065;"Thursday";3
"2017-03-10";"01385231";"morning peak";1108;"Friday";3
"2017-03-13";"01385231";"morning peak";1202;"Monday";3
"2017-03-14";"01385231";"morning peak";NA;"Tuesday";3
"2017-03-15";"01385231";"morning peak";NA;"Wednesday";3
"2017-03-16";"01385231";"morning peak";1208;"Thursday";3
"2017-03-17";"01385231";"morning peak";1110;"Friday";3
"2017-03-20";"01385231";"morning peak";1178;"Monday";3
"2017-03-21";"01385231";"morning peak";1149;"Tuesday";3
"2017-03-22";"01385231";"morning peak";1128;"Wednesday";3
"2017-03-23";"01385231";"morning peak";1095;"Thursday";3
"2017-03-24";"01385231";"morning peak";1086;"Friday";3
"2017-03-27";"01385231";"morning peak";1203;"Monday";3
"2017-03-28";"01385231";"morning peak";1168;"Tuesday";3
"2017-03-29";"01385231";"morning peak";NA;"Wednesday";3
"2017-03-30";"01385231";"morning peak";1224;"Thursday";3
"2017-03-31";"01385231";"morning peak";1220;"Friday";3
"2017-04-03";"01385231";"morning peak";1285;"Monday";4
"2017-04-04";"01385231";"morning peak";NA;"Tuesday";4
"2017-04-05";"01385231";"morning peak";NA;"Wednesday";4
"2017-04-06";"01385231";"morning peak";NA;"Thursday";4
"2017-04-07";"01385231";"morning peak";NA;"Friday";4
"2017-04-10";"01385231";"morning peak";1185;"Monday";4
"2017-04-11";"01385231";"morning peak";NA;"Tuesday";4
"2017-04-12";"01385231";"morning peak";1205;"Wednesday";4
"2017-04-13";"01385231";"morning peak";NA;"Thursday";4
"2017-04-14";"01385231";"morning peak";NA;"Friday";4
"2017-04-17";"01385231";"morning peak";NA;"Monday";4
"2017-04-18";"01385231";"morning peak";NA;"Tuesday";4
"2017-04-19";"01385231";"morning peak";1156;"Wednesday";4
"2017-04-20";"01385231";"morning peak";NA;"Thursday";4
"2017-04-21";"01385231";"morning peak";NA;"Friday";4
"2017-04-24";"01385231";"morning peak";1069;"Monday";4
"2017-04-25";"01385231";"morning peak";1139;"Tuesday";4
"2017-04-26";"01385231";"morning peak";NA;"Wednesday";4
"2017-04-27";"01385231";"morning peak";NA;"Thursday";4
"2017-04-28";"01385231";"morning peak";NA;"Friday";4
"2017-05-01";"01385231";"morning peak";NA;"Monday";4
"2017-05-02";"01385231";"morning peak";NA;"Tuesday";5
"2017-05-03";"01385231";"morning peak";NA;"Wednesday";5
"2017-05-04";"01385231";"morning peak";NA;"Thursday";5
"2017-05-05";"01385231";"morning peak";NA;"Friday";5
"2017-05-08";"01385231";"morning peak";NA;"Monday";5
"2017-05-09";"01385231";"morning peak";NA;"Tuesday";5
"2017-05-10";"01385231";"morning peak";NA;"Wednesday";5
"2017-05-11";"01385231";"morning peak";NA;"Thursday";5
"2017-05-12";"01385231";"morning peak";1254;"Friday";5
