"DAY";"SENSOR_ID";"PERIOD";"VOLUME";"WEEKDAY";"MONTH"
"2017-01-02";"FS084";"morning peak";843;"Monday";1
"2017-01-03";"FS084";"morning peak";961;"Tuesday";1
"2017-01-04";"FS084";"morning peak";NA;"Wednesday";1
"2017-01-05";"FS084";"morning peak";979;"Thursday";1
"2017-01-06";"FS084";"morning peak";928;"Friday";1
"2017-01-09";"FS084";"morning peak";1194;"Monday";1
"2017-01-10";"FS084";"morning peak";1029;"Tuesday";1
"2017-01-11";"FS084";"morning peak";1004;"Wednesday";1
"2017-01-12";"FS084";"morning peak";1002;"Thursday";1
"2017-01-13";"FS084";"morning peak";1000;"Friday";1
"2017-01-16";"FS084";"morning peak";1048;"Monday";1
"2017-01-17";"FS084";"morning peak";NA;"Tuesday";1
"2017-01-18";"FS084";"morning peak";1038;"Wednesday";1
"2017-01-19";"FS084";"morning peak";1043;"Thursday";1
"2017-01-20";"FS084";"morning peak";1035;"Friday";1
"2017-01-23";"FS084";"morning peak";1059;"Monday";1
"2017-01-24";"FS084";"morning peak";1091;"Tuesday";1
"2017-01-25";"FS084";"morning peak";1087;"Wednesday";1
"2017-01-26";"FS084";"morning peak";1070;"Thursday";1
"2017-01-27";"FS084";"morning peak";1105;"Friday";1
"2017-01-30";"FS084";"morning peak";1075;"Monday";1
"2017-01-31";"FS084";"morning peak";NA;"Tuesday";1
"2017-02-01";"FS084";"morning peak";1145;"Wednesday";1
"2017-02-02";"FS084";"morning peak";1105;"Thursday";2
"2017-02-03";"FS084";"morning peak";1137;"Friday";2
"2017-02-06";"FS084";"morning peak";1181;"Monday";2
"2017-02-07";"FS084";"morning peak";NA;"Tuesday";2
"2017-02-08";"FS084";"morning peak";1106;"Wednesday";2
"2017-02-09";"FS084";"morning peak";NA;"Thursday";2
"2017-02-10";"FS084";"morning peak";1165;"Friday";2
"2017-02-13";"FS084";"morning peak";1161;"Monday";2
"2017-02-14";"FS084";"morning peak";1153;"Tuesday";2
"2017-02-15";"FS084";"morning peak";1115;"Wednesday";2
"2017-02-16";"FS084";"morning peak";1100;"Thursday";2
"2017-02-17";"FS084";"morning peak";1072;"Friday";2
"2017-02-20";"FS084";"morning peak";1147;"Monday";2
"2017-02-21";"FS084";"morning peak";NA;"Tuesday";2
"2017-02-22";"FS084";"morning peak";1163;"Wednesday";2
"2017-02-23";"FS084";"morning peak";1136;"Thursday";2
"2017-02-24";"FS084";"morning peak";1072;"Friday";2
"2017-02-27";"FS084";"morning peak";NA;"Monday";2
"2017-02-28";"FS084";"morning peak";NA;"Tuesday";2
"2017-03-01";"FS084";"morning peak";NA;"Wednesday";2
"2017-03-02";"FS084";"morning peak";NA;"Thursday";3
"2017-03-03";"FS084";"morning peak";NA;"Friday";3
"2017-03-06";"FS084";"morning peak";1193;"Monday";3
"2017-03-07";"FS084";"morning peak";1130;"Tuesday";3
"2017-03-08";"FS084";"morning peak";1095;"Wednesday";3
"2017-03-09";"FS084";"morning peak";1079;"Thursday";3
"2017-03-10";"FS084";"morning peak";1085;"Friday";3
"2017-03-13";"FS084";"morning peak";1196;"Monday";3
"2017-03-14";"FS084";"morning peak";1138;"Tuesday";3
"2017-03-15";"FS084";"morning peak";1139;"Wednesday";3
"2017-03-16";"FS084";"morning peak";1098;"Thursday";3
"2017-03-17";"FS084";"morning peak";1135;"Friday";3
"2017-03-20";"FS084";"morning peak";NA;"Monday";3
"2017-03-21";"FS084";"morning peak";NA;"Tuesday";3
"2017-03-22";"FS084";"morning peak";NA;"Wednesday";3
"2017-03-23";"FS084";"morning peak";1088;"Thursday";3
"2017-03-24";"FS084";"morning peak";1038;"Friday";3
"2017-03-27";"FS084";"morning peak";1177;"Monday";3
"2017-03-28";"FS084";"morning peak";1103;"Tuesday";3
"2017-03-29";"FS084";"morning peak";1121;"Wednesday";3
"2017-03-30";"FS084";"morning peak";1124;"Thursday";3
"2017-03-31";"FS084";"morning peak";1082;"Friday";3
"2017-04-03";"FS084";"morning peak";NA;"Monday";4
"2017-04-04";"FS084";"morning peak";1117;"Tuesday";4
"2017-04-05";"FS084";"morning peak";NA;"Wednesday";4
"2017-04-06";"FS084";"morning peak";NA;"Thursday";4
"2017-04-07";"FS084";"morning peak";NA;"Friday";4
"2017-04-10";"FS084";"morning peak";NA;"Monday";4
"2017-04-11";"FS084";"morning peak";1057;"Tuesday";4
"2017-04-12";"FS084";"morning peak";1118;"Wednesday";4
"2017-04-13";"FS084";"morning peak";NA;"Thursday";4
"2017-04-14";"FS084";"morning peak";NA;"Friday";4
"2017-04-17";"FS084";"morning peak";1143;"Monday";4
"2017-04-18";"FS084";"morning peak";1123;"Tuesday";4
"2017-04-19";"FS084";"morning peak";917;"Wednesday";4
"2017-04-20";"FS084";"morning peak";1153;"Thursday";4
"2017-04-21";"FS084";"morning peak";NA;"Friday";4
"2017-04-24";"FS084";"morning peak";946;"Monday";4
"2017-04-25";"FS084";"morning peak";960;"Tuesday";4
"2017-04-26";"FS084";"morning peak";NA;"Wednesday";4
"2017-04-27";"FS084";"morning peak";1153;"Thursday";4
"2017-04-28";"FS084";"morning peak";NA;"Friday";4
"2017-05-01";"FS084";"morning peak";NA;"Monday";4
"2017-05-02";"FS084";"morning peak";NA;"Tuesday";5
"2017-05-03";"FS084";"morning peak";515;"Wednesday";5
"2017-05-04";"FS084";"morning peak";863;"Thursday";5
"2017-05-05";"FS084";"morning peak";NA;"Friday";5
"2017-05-08";"FS084";"morning peak";NA;"Monday";5
"2017-05-09";"FS084";"morning peak";NA;"Tuesday";5
"2017-05-10";"FS084";"morning peak";NA;"Wednesday";5
"2017-05-11";"FS084";"morning peak";NA;"Thursday";5
"2017-05-12";"FS084";"morning peak";NA;"Friday";5
"2017-05-15";"FS084";"morning peak";983;"Monday";5
"2017-05-16";"FS084";"morning peak";1246;"Tuesday";5
"2017-05-17";"FS084";"morning peak";1245;"Wednesday";5
"2017-05-18";"FS084";"morning peak";1194;"Thursday";5
"2017-05-19";"FS084";"morning peak";1159;"Friday";5
"2017-05-22";"FS084";"morning peak";NA;"Monday";5
"2017-05-23";"FS084";"morning peak";NA;"Tuesday";5
"2017-05-24";"FS084";"morning peak";641;"Wednesday";5
"2017-05-25";"FS084";"morning peak";NA;"Thursday";5
"2017-05-26";"FS084";"morning peak";1171;"Friday";5
"2017-05-29";"FS084";"morning peak";NA;"Monday";5
"2017-05-30";"FS084";"morning peak";756;"Tuesday";5
"2017-05-31";"FS084";"morning peak";1175;"Wednesday";5
"2017-06-01";"FS084";"morning peak";741;"Thursday";5
"2017-06-02";"FS084";"morning peak";1192;"Friday";6
"2017-06-05";"FS084";"morning peak";1237;"Monday";6
"2017-06-06";"FS084";"morning peak";431;"Tuesday";6
"2017-06-07";"FS084";"morning peak";817;"Wednesday";6
"2017-06-08";"FS084";"morning peak";NA;"Thursday";6
