"DAY";"SENSOR_ID";"PERIOD";"VOLUME";"WEEKDAY";"MONTH"
"2017-01-02";"AT229";"morning peak";1504;"Monday";1
"2017-01-03";"AT229";"morning peak";1726;"Tuesday";1
"2017-01-04";"AT229";"morning peak";1745;"Wednesday";1
"2017-01-05";"AT229";"morning peak";1738;"Thursday";1
"2017-01-06";"AT229";"morning peak";1766;"Friday";1
"2017-01-09";"AT229";"morning peak";1932;"Monday";1
"2017-01-10";"AT229";"morning peak";1972;"Tuesday";1
"2017-01-11";"AT229";"morning peak";1890;"Wednesday";1
"2017-01-12";"AT229";"morning peak";1939;"Thursday";1
"2017-01-13";"AT229";"morning peak";1943;"Friday";1
"2017-01-16";"AT229";"morning peak";1879;"Monday";1
"2017-01-17";"AT229";"morning peak";1990;"Tuesday";1
"2017-01-18";"AT229";"morning peak";1942;"Wednesday";1
"2017-01-19";"AT229";"morning peak";1966;"Thursday";1
"2017-01-20";"AT229";"morning peak";1813;"Friday";1
"2017-01-23";"AT229";"morning peak";1972;"Monday";1
"2017-01-24";"AT229";"morning peak";2032;"Tuesday";1
"2017-01-25";"AT229";"morning peak";2019;"Wednesday";1
"2017-01-26";"AT229";"morning peak";2122;"Thursday";1
"2017-01-27";"AT229";"morning peak";2071;"Friday";1
"2017-01-30";"AT229";"morning peak";2073;"Monday";1
"2017-01-31";"AT229";"morning peak";2007;"Tuesday";1
"2017-02-01";"AT229";"morning peak";2112;"Wednesday";1
"2017-02-02";"AT229";"morning peak";2133;"Thursday";2
"2017-02-03";"AT229";"morning peak";2167;"Friday";2
"2017-02-06";"AT229";"morning peak";2162;"Monday";2
"2017-02-07";"AT229";"morning peak";2104;"Tuesday";2
"2017-02-08";"AT229";"morning peak";2114;"Wednesday";2
"2017-02-09";"AT229";"morning peak";2143;"Thursday";2
"2017-02-10";"AT229";"morning peak";2105;"Friday";2
"2017-02-13";"AT229";"morning peak";2107;"Monday";2
"2017-02-14";"AT229";"morning peak";1813;"Tuesday";2
"2017-02-15";"AT229";"morning peak";2116;"Wednesday";2
"2017-02-16";"AT229";"morning peak";2149;"Thursday";2
"2017-02-17";"AT229";"morning peak";2057;"Friday";2
"2017-02-20";"AT229";"morning peak";2024;"Monday";2
"2017-02-21";"AT229";"morning peak";2156;"Tuesday";2
"2017-02-22";"AT229";"morning peak";2075;"Wednesday";2
"2017-02-23";"AT229";"morning peak";2165;"Thursday";2
"2017-02-24";"AT229";"morning peak";2122;"Friday";2
"2017-02-27";"AT229";"morning peak";NA;"Monday";2
"2017-02-28";"AT229";"morning peak";NA;"Tuesday";2
"2017-03-01";"AT229";"morning peak";NA;"Wednesday";2
"2017-03-02";"AT229";"morning peak";2186;"Thursday";3
"2017-03-03";"AT229";"morning peak";1877;"Friday";3
"2017-03-06";"AT229";"morning peak";2223;"Monday";3
"2017-03-07";"AT229";"morning peak";2081;"Tuesday";3
"2017-03-08";"AT229";"morning peak";2239;"Wednesday";3
"2017-03-09";"AT229";"morning peak";1909;"Thursday";3
"2017-03-10";"AT229";"morning peak";2088;"Friday";3
"2017-03-13";"AT229";"morning peak";2160;"Monday";3
"2017-03-14";"AT229";"morning peak";2163;"Tuesday";3
"2017-03-15";"AT229";"morning peak";2143;"Wednesday";3
"2017-03-16";"AT229";"morning peak";2119;"Thursday";3
"2017-03-17";"AT229";"morning peak";2173;"Friday";3
"2017-03-20";"AT229";"morning peak";2096;"Monday";3
"2017-03-21";"AT229";"morning peak";2195;"Tuesday";3
"2017-03-22";"AT229";"morning peak";2128;"Wednesday";3
"2017-03-23";"AT229";"morning peak";2092;"Thursday";3
