"DAY";"SENSOR_ID";"PERIOD";"VOLUME";"WEEKDAY";"MONTH"
"2017-01-02";"AT078";"morning peak";NA;"Monday";1
"2017-01-03";"AT078";"morning peak";1353;"Tuesday";1
"2017-01-04";"AT078";"morning peak";1390;"Wednesday";1
"2017-01-05";"AT078";"morning peak";1403;"Thursday";1
"2017-01-06";"AT078";"morning peak";1425;"Friday";1
"2017-01-09";"AT078";"morning peak";1514;"Monday";1
"2017-01-10";"AT078";"morning peak";1507;"Tuesday";1
"2017-01-11";"AT078";"morning peak";1444;"Wednesday";1
"2017-01-12";"AT078";"morning peak";1465;"Thursday";1
"2017-01-13";"AT078";"morning peak";1478;"Friday";1
"2017-01-16";"AT078";"morning peak";1495;"Monday";1
"2017-01-17";"AT078";"morning peak";1606;"Tuesday";1
"2017-01-18";"AT078";"morning peak";1588;"Wednesday";1
"2017-01-19";"AT078";"morning peak";1581;"Thursday";1
"2017-01-20";"AT078";"morning peak";1550;"Friday";1
"2017-01-23";"AT078";"morning peak";1604;"Monday";1
"2017-01-24";"AT078";"morning peak";1605;"Tuesday";1
"2017-01-25";"AT078";"morning peak";1572;"Wednesday";1
"2017-01-26";"AT078";"morning peak";1619;"Thursday";1
"2017-01-27";"AT078";"morning peak";1608;"Friday";1
"2017-01-30";"AT078";"morning peak";1600;"Monday";1
"2017-01-31";"AT078";"morning peak";1585;"Tuesday";1
"2017-02-01";"AT078";"morning peak";1630;"Wednesday";1
"2017-02-02";"AT078";"morning peak";1622;"Thursday";2
"2017-02-03";"AT078";"morning peak";1641;"Friday";2
"2017-02-06";"AT078";"morning peak";1657;"Monday";2
"2017-02-07";"AT078";"morning peak";1690;"Tuesday";2
"2017-02-08";"AT078";"morning peak";1589;"Wednesday";2
"2017-02-09";"AT078";"morning peak";1650;"Thursday";2
"2017-02-10";"AT078";"morning peak";1640;"Friday";2
"2017-02-13";"AT078";"morning peak";1667;"Monday";2
"2017-02-14";"AT078";"morning peak";1635;"Tuesday";2
"2017-02-15";"AT078";"morning peak";1677;"Wednesday";2
"2017-02-16";"AT078";"morning peak";1645;"Thursday";2
"2017-02-17";"AT078";"morning peak";1626;"Friday";2
"2017-02-20";"AT078";"morning peak";1593;"Monday";2
"2017-02-21";"AT078";"morning peak";1621;"Tuesday";2
"2017-02-22";"AT078";"morning peak";1660;"Wednesday";2
"2017-02-23";"AT078";"morning peak";1624;"Thursday";2
"2017-02-24";"AT078";"morning peak";NA;"Friday";2
"2017-02-27";"AT078";"morning peak";NA;"Monday";2
"2017-02-28";"AT078";"morning peak";NA;"Tuesday";2
"2017-03-01";"AT078";"morning peak";NA;"Wednesday";2
"2017-03-02";"AT078";"morning peak";1588;"Thursday";3
"2017-03-03";"AT078";"morning peak";1394;"Friday";3
"2017-03-06";"AT078";"morning peak";1750;"Monday";3
"2017-03-07";"AT078";"morning peak";1683;"Tuesday";3
"2017-03-08";"AT078";"morning peak";1625;"Wednesday";3
"2017-03-09";"AT078";"morning peak";1545;"Thursday";3
"2017-03-10";"AT078";"morning peak";1657;"Friday";3
"2017-03-13";"AT078";"morning peak";1718;"Monday";3
"2017-03-14";"AT078";"morning peak";1626;"Tuesday";3
"2017-03-15";"AT078";"morning peak";1682;"Wednesday";3
"2017-03-16";"AT078";"morning peak";1652;"Thursday";3
"2017-03-17";"AT078";"morning peak";1660;"Friday";3
"2017-03-20";"AT078";"morning peak";1675;"Monday";3
"2017-03-21";"AT078";"morning peak";1687;"Tuesday";3
"2017-03-22";"AT078";"morning peak";1649;"Wednesday";3
"2017-03-23";"AT078";"morning peak";1599;"Thursday";3
"2017-03-24";"AT078";"morning peak";1630;"Friday";3
"2017-03-27";"AT078";"morning peak";1713;"Monday";3
"2017-03-28";"AT078";"morning peak";1660;"Tuesday";3
"2017-03-29";"AT078";"morning peak";1646;"Wednesday";3
"2017-03-30";"AT078";"morning peak";1639;"Thursday";3
"2017-03-31";"AT078";"morning peak";1698;"Friday";3
"2017-04-03";"AT078";"morning peak";1686;"Monday";4
"2017-04-04";"AT078";"morning peak";1743;"Tuesday";4
"2017-04-05";"AT078";"morning peak";1644;"Wednesday";4
"2017-04-06";"AT078";"morning peak";1716;"Thursday";4
"2017-04-07";"AT078";"morning peak";1701;"Friday";4
"2017-04-10";"AT078";"morning peak";1725;"Monday";4
"2017-04-11";"AT078";"morning peak";1718;"Tuesday";4
"2017-04-12";"AT078";"morning peak";1752;"Wednesday";4
"2017-04-13";"AT078";"morning peak";NA;"Thursday";4
"2017-04-14";"AT078";"morning peak";NA;"Friday";4
"2017-04-17";"AT078";"morning peak";1711;"Monday";4
"2017-04-18";"AT078";"morning peak";1689;"Tuesday";4
"2017-04-19";"AT078";"morning peak";1717;"Wednesday";4
"2017-04-20";"AT078";"morning peak";1782;"Thursday";4
"2017-04-21";"AT078";"morning peak";NA;"Friday";4
"2017-04-24";"AT078";"morning peak";1717;"Monday";4
"2017-04-25";"AT078";"morning peak";1715;"Tuesday";4
"2017-04-26";"AT078";"morning peak";1642;"Wednesday";4
"2017-04-27";"AT078";"morning peak";1712;"Thursday";4
"2017-04-28";"AT078";"morning peak";1465;"Friday";4
"2017-05-01";"AT078";"morning peak";NA;"Monday";4
"2017-05-02";"AT078";"morning peak";1791;"Tuesday";5
"2017-05-03";"AT078";"morning peak";1725;"Wednesday";5
"2017-05-04";"AT078";"morning peak";1686;"Thursday";5
"2017-05-05";"AT078";"morning peak";1745;"Friday";5
"2017-05-08";"AT078";"morning peak";1647;"Monday";5
"2017-05-09";"AT078";"morning peak";1655;"Tuesday";5
"2017-05-10";"AT078";"morning peak";1703;"Wednesday";5
"2017-05-11";"AT078";"morning peak";1723;"Thursday";5
"2017-05-12";"AT078";"morning peak";1756;"Friday";5
"2017-05-15";"AT078";"morning peak";1719;"Monday";5
"2017-05-16";"AT078";"morning peak";1685;"Tuesday";5
"2017-05-17";"AT078";"morning peak";1683;"Wednesday";5
"2017-05-18";"AT078";"morning peak";1663;"Thursday";5
"2017-05-19";"AT078";"morning peak";1699;"Friday";5
"2017-05-22";"AT078";"morning peak";1778;"Monday";5
"2017-05-23";"AT078";"morning peak";1639;"Tuesday";5
"2017-05-24";"AT078";"morning peak";1686;"Wednesday";5
"2017-05-25";"AT078";"morning peak";1722;"Thursday";5
"2017-05-26";"AT078";"morning peak";1710;"Friday";5
"2017-05-29";"AT078";"morning peak";1623;"Monday";5
"2017-05-30";"AT078";"morning peak";1705;"Tuesday";5
"2017-05-31";"AT078";"morning peak";1657;"Wednesday";5
"2017-06-01";"AT078";"morning peak";1707;"Thursday";5
"2017-06-02";"AT078";"morning peak";1746;"Friday";6
"2017-06-05";"AT078";"morning peak";1764;"Monday";6
"2017-06-06";"AT078";"morning peak";1705;"Tuesday";6
"2017-06-07";"AT078";"morning peak";1685;"Wednesday";6
"2017-06-08";"AT078";"morning peak";1709;"Thursday";6
"2017-06-09";"AT078";"morning peak";1682;"Friday";6
"2017-06-12";"AT078";"morning peak";1728;"Monday";6
"2017-06-13";"AT078";"morning peak";1715;"Tuesday";6
"2017-06-14";"AT078";"morning peak";1684;"Wednesday";6
"2017-06-15";"AT078";"morning peak";NA;"Thursday";6
"2017-06-16";"AT078";"morning peak";1562;"Friday";6
"2017-06-19";"AT078";"morning peak";1724;"Monday";6
"2017-06-20";"AT078";"morning peak";1698;"Tuesday";6
"2017-06-21";"AT078";"morning peak";1696;"Wednesday";6
"2017-06-22";"AT078";"morning peak";1699;"Thursday";6
"2017-06-23";"AT078";"morning peak";1677;"Friday";6
"2017-06-26";"AT078";"morning peak";1577;"Monday";6
"2017-06-27";"AT078";"morning peak";1579;"Tuesday";6
"2017-06-28";"AT078";"morning peak";1545;"Wednesday";6
"2017-06-29";"AT078";"morning peak";1588;"Thursday";6
"2017-06-30";"AT078";"morning peak";1578;"Friday";6
"2017-07-03";"AT078";"morning peak";NA;"Monday";7
"2017-07-04";"AT078";"morning peak";1543;"Tuesday";7
"2017-07-05";"AT078";"morning peak";1528;"Wednesday";7
"2017-07-06";"AT078";"morning peak";1517;"Thursday";7
"2017-07-07";"AT078";"morning peak";1547;"Friday";7
"2017-07-10";"AT078";"morning peak";1500;"Monday";7
"2017-07-11";"AT078";"morning peak";1489;"Tuesday";7
"2017-07-12";"AT078";"morning peak";1504;"Wednesday";7
"2017-07-13";"AT078";"morning peak";1530;"Thursday";7
"2017-07-14";"AT078";"morning peak";1499;"Friday";7
"2017-07-17";"AT078";"morning peak";1487;"Monday";7
"2017-07-18";"AT078";"morning peak";1465;"Tuesday";7
"2017-07-19";"AT078";"morning peak";1486;"Wednesday";7
"2017-07-20";"AT078";"morning peak";1450;"Thursday";7
"2017-07-21";"AT078";"morning peak";1380;"Friday";7
"2017-07-24";"AT078";"morning peak";1420;"Monday";7
"2017-07-25";"AT078";"morning peak";1446;"Tuesday";7
"2017-07-26";"AT078";"morning peak";1574;"Wednesday";7
"2017-07-27";"AT078";"morning peak";1583;"Thursday";7
"2017-07-28";"AT078";"morning peak";1598;"Friday";7
"2017-07-31";"AT078";"morning peak";NA;"Monday";7
"2017-08-01";"AT078";"morning peak";NA;"Tuesday";7
"2017-08-02";"AT078";"morning peak";NA;"Wednesday";8
"2017-08-03";"AT078";"morning peak";1784;"Thursday";8
"2017-08-04";"AT078";"morning peak";1813;"Friday";8
"2017-08-07";"AT078";"morning peak";1829;"Monday";8
"2017-08-08";"AT078";"morning peak";1802;"Tuesday";8
"2017-08-09";"AT078";"morning peak";1801;"Wednesday";8
"2017-08-10";"AT078";"morning peak";1796;"Thursday";8
"2017-08-11";"AT078";"morning peak";1823;"Friday";8
"2017-08-14";"AT078";"morning peak";1561;"Monday";8
"2017-08-15";"AT078";"morning peak";NA;"Tuesday";8
"2017-08-16";"AT078";"morning peak";1875;"Wednesday";8
"2017-08-17";"AT078";"morning peak";1813;"Thursday";8
"2017-08-18";"AT078";"morning peak";1819;"Friday";8
"2017-08-21";"AT078";"morning peak";1852;"Monday";8
"2017-08-22";"AT078";"morning peak";1861;"Tuesday";8
"2017-08-23";"AT078";"morning peak";1770;"Wednesday";8
"2017-08-24";"AT078";"morning peak";1786;"Thursday";8
"2017-08-25";"AT078";"morning peak";1864;"Friday";8
"2017-08-28";"AT078";"morning peak";1830;"Monday";8
"2017-08-29";"AT078";"morning peak";1802;"Tuesday";8
"2017-08-30";"AT078";"morning peak";1852;"Wednesday";8
"2017-08-31";"AT078";"morning peak";1883;"Thursday";8
"2017-09-01";"AT078";"morning peak";1883;"Friday";8
"2017-09-04";"AT078";"morning peak";NA;"Monday";9
"2017-09-05";"AT078";"morning peak";1943;"Tuesday";9
"2017-09-06";"AT078";"morning peak";NA;"Wednesday";9
"2017-09-07";"AT078";"morning peak";NA;"Thursday";9
"2017-09-08";"AT078";"morning peak";1715;"Friday";9
"2017-09-11";"AT078";"morning peak";NA;"Monday";9
"2017-09-12";"AT078";"morning peak";1926;"Tuesday";9
"2017-09-13";"AT078";"morning peak";1882;"Wednesday";9
"2017-09-14";"AT078";"morning peak";1885;"Thursday";9
"2017-09-15";"AT078";"morning peak";1871;"Friday";9
"2017-09-18";"AT078";"morning peak";1606;"Monday";9
"2017-09-19";"AT078";"morning peak";1628;"Tuesday";9
"2017-09-20";"AT078";"morning peak";1803;"Wednesday";9
"2017-09-21";"AT078";"morning peak";1788;"Thursday";9
"2017-09-22";"AT078";"morning peak";1792;"Friday";9
"2017-09-25";"AT078";"morning peak";1692;"Monday";9
"2017-09-26";"AT078";"morning peak";NA;"Tuesday";9
"2017-09-27";"AT078";"morning peak";1867;"Wednesday";9
"2017-09-28";"AT078";"morning peak";1833;"Thursday";9
"2017-09-29";"AT078";"morning peak";1887;"Friday";9
"2017-10-02";"AT078";"morning peak";1927;"Monday";10
"2017-10-03";"AT078";"morning peak";1896;"Tuesday";10
"2017-10-04";"AT078";"morning peak";1879;"Wednesday";10
"2017-10-05";"AT078";"morning peak";1894;"Thursday";10
"2017-10-06";"AT078";"morning peak";1879;"Friday";10
"2017-10-09";"AT078";"morning peak";1916;"Monday";10
"2017-10-10";"AT078";"morning peak";1918;"Tuesday";10
"2017-10-11";"AT078";"morning peak";1868;"Wednesday";10
"2017-10-12";"AT078";"morning peak";NA;"Thursday";10
"2017-10-13";"AT078";"morning peak";1726;"Friday";10
"2017-10-16";"AT078";"morning peak";1846;"Monday";10
"2017-10-17";"AT078";"morning peak";NA;"Tuesday";10
"2017-10-18";"AT078";"morning peak";1686;"Wednesday";10
"2017-10-19";"AT078";"morning peak";NA;"Thursday";10
"2017-10-20";"AT078";"morning peak";NA;"Friday";10
"2017-10-23";"AT078";"morning peak";NA;"Monday";10
"2017-10-24";"AT078";"morning peak";NA;"Tuesday";10
"2017-10-25";"AT078";"morning peak";1809;"Wednesday";10
"2017-10-26";"AT078";"morning peak";NA;"Thursday";10
"2017-10-27";"AT078";"morning peak";1844;"Friday";10
"2017-10-30";"AT078";"morning peak";1862;"Monday";10
"2017-10-31";"AT078";"morning peak";1816;"Tuesday";10
"2017-11-01";"AT078";"morning peak";1865;"Wednesday";10
"2017-11-02";"AT078";"morning peak";NA;"Thursday";11
"2017-11-03";"AT078";"morning peak";1668;"Friday";11
"2017-11-06";"AT078";"morning peak";1902;"Monday";11
"2017-11-07";"AT078";"morning peak";1845;"Tuesday";11
"2017-11-08";"AT078";"morning peak";1844;"Wednesday";11
"2017-11-09";"AT078";"morning peak";1812;"Thursday";11
"2017-11-10";"AT078";"morning peak";1677;"Friday";11
"2017-11-13";"AT078";"morning peak";1802;"Monday";11
"2017-11-14";"AT078";"morning peak";1773;"Tuesday";11
"2017-11-15";"AT078";"morning peak";NA;"Wednesday";11
"2017-11-16";"AT078";"morning peak";1856;"Thursday";11
"2017-11-17";"AT078";"morning peak";1805;"Friday";11
"2017-11-20";"AT078";"morning peak";1865;"Monday";11
"2017-11-21";"AT078";"morning peak";1843;"Tuesday";11
"2017-11-22";"AT078";"morning peak";1798;"Wednesday";11
"2017-11-23";"AT078";"morning peak";1795;"Thursday";11
"2017-11-24";"AT078";"morning peak";1833;"Friday";11
"2017-11-27";"AT078";"morning peak";1725;"Monday";11
"2017-11-28";"AT078";"morning peak";1719;"Tuesday";11
"2017-11-29";"AT078";"morning peak";1649;"Wednesday";11
"2017-11-30";"AT078";"morning peak";1616;"Thursday";11
"2017-12-01";"AT078";"morning peak";1738;"Friday";11
"2017-12-04";"AT078";"morning peak";1771;"Monday";12
"2017-12-05";"AT078";"morning peak";1671;"Tuesday";12
"2017-12-06";"AT078";"morning peak";1538;"Wednesday";12
"2017-12-07";"AT078";"morning peak";1796;"Thursday";12
"2017-12-08";"AT078";"morning peak";1521;"Friday";12
"2017-12-11";"AT078";"morning peak";1715;"Monday";12
"2017-12-12";"AT078";"morning peak";1759;"Tuesday";12
"2017-12-13";"AT078";"morning peak";1764;"Wednesday";12
"2017-12-14";"AT078";"morning peak";1737;"Thursday";12
"2017-12-15";"AT078";"morning peak";1730;"Friday";12
"2017-12-18";"AT078";"morning peak";1579;"Monday";12
"2017-12-19";"AT078";"morning peak";1611;"Tuesday";12
"2017-12-20";"AT078";"morning peak";1496;"Wednesday";12
"2017-12-21";"AT078";"morning peak";1698;"Thursday";12
"2017-12-22";"AT078";"morning peak";1653;"Friday";12
"2017-12-25";"AT078";"morning peak";NA;"Monday";12
"2017-12-26";"AT078";"morning peak";1405;"Tuesday";12
"2017-12-27";"AT078";"morning peak";1437;"Wednesday";12
"2017-12-28";"AT078";"morning peak";1301;"Thursday";12
"2017-12-29";"AT078";"morning peak";1407;"Friday";12
"2017-01-02";"AT078";"midday period";1265;"Monday";1
"2017-01-03";"AT078";"midday period";1336;"Tuesday";1
"2017-01-04";"AT078";"midday period";1281;"Wednesday";1
"2017-01-05";"AT078";"midday period";1371;"Thursday";1
"2017-01-06";"AT078";"midday period";1454;"Friday";1
"2017-01-09";"AT078";"midday period";1408;"Monday";1
"2017-01-10";"AT078";"midday period";1413;"Tuesday";1
"2017-01-11";"AT078";"midday period";1388;"Wednesday";1
"2017-01-12";"AT078";"midday period";1368;"Thursday";1
"2017-01-13";"AT078";"midday period";1429;"Friday";1
"2017-01-16";"AT078";"midday period";1365;"Monday";1
"2017-01-17";"AT078";"midday period";1371;"Tuesday";1
"2017-01-18";"AT078";"midday period";1393;"Wednesday";1
"2017-01-19";"AT078";"midday period";1377;"Thursday";1
"2017-01-20";"AT078";"midday period";1439;"Friday";1
"2017-01-23";"AT078";"midday period";1397;"Monday";1
"2017-01-24";"AT078";"midday period";1335;"Tuesday";1
"2017-01-25";"AT078";"midday period";1337;"Wednesday";1
"2017-01-26";"AT078";"midday period";1338;"Thursday";1
"2017-01-27";"AT078";"midday period";1403;"Friday";1
"2017-01-30";"AT078";"midday period";1324;"Monday";1
"2017-01-31";"AT078";"midday period";1383;"Tuesday";1
"2017-02-01";"AT078";"midday period";1380;"Wednesday";1
"2017-02-02";"AT078";"midday period";1359;"Thursday";2
"2017-02-03";"AT078";"midday period";1435;"Friday";2
"2017-02-06";"AT078";"midday period";1368;"Monday";2
"2017-02-07";"AT078";"midday period";1322;"Tuesday";2
"2017-02-08";"AT078";"midday period";1371;"Wednesday";2
"2017-02-09";"AT078";"midday period";1361;"Thursday";2
"2017-02-10";"AT078";"midday period";1425;"Friday";2
"2017-02-13";"AT078";"midday period";1344;"Monday";2
