"DAY";"SENSOR_ID";"PERIOD";"VOLUME";"WEEKDAY";"MONTH"
"2017-01-02";"01385202";"morning peak";684;"Monday";1
"2017-01-03";"01385202";"morning peak";781;"Tuesday";1
"2017-01-04";"01385202";"morning peak";805;"Wednesday";1
"2017-01-05";"01385202";"morning peak";807;"Thursday";1
"2017-01-06";"01385202";"morning peak";813;"Friday";1
"2017-01-09";"01385202";"morning peak";924;"Monday";1
"2017-01-10";"01385202";"morning peak";NA;"Tuesday";1
"2017-01-11";"01385202";"morning peak";1026;"Wednesday";1
"2017-01-12";"01385202";"morning peak";962;"Thursday";1
"2017-01-13";"01385202";"morning peak";957;"Friday";1
"2017-01-16";"01385202";"morning peak";911;"Monday";1
"2017-01-17";"01385202";"morning peak";960;"Tuesday";1
"2017-01-18";"01385202";"morning peak";948;"Wednesday";1
"2017-01-19";"01385202";"morning peak";954;"Thursday";1
"2017-01-20";"01385202";"morning peak";917;"Friday";1
"2017-01-23";"01385202";"morning peak";966;"Monday";1
"2017-01-24";"01385202";"morning peak";990;"Tuesday";1
"2017-01-25";"01385202";"morning peak";1014;"Wednesday";1
"2017-01-26";"01385202";"morning peak";1026;"Thursday";1
"2017-01-27";"01385202";"morning peak";1014;"Friday";1
"2017-01-30";"01385202";"morning peak";1077;"Monday";1
"2017-01-31";"01385202";"morning peak";1024;"Tuesday";1
"2017-02-01";"01385202";"morning peak";1048;"Wednesday";1
"2017-02-02";"01385202";"morning peak";1076;"Thursday";2
"2017-02-03";"01385202";"morning peak";1044;"Friday";2
"2017-02-06";"01385202";"morning peak";1042;"Monday";2
"2017-02-07";"01385202";"morning peak";1085;"Tuesday";2
"2017-02-08";"01385202";"morning peak";1023;"Wednesday";2
"2017-02-09";"01385202";"morning peak";957;"Thursday";2
"2017-02-10";"01385202";"morning peak";1009;"Friday";2
"2017-02-13";"01385202";"morning peak";1086;"Monday";2
"2017-02-14";"01385202";"morning peak";1039;"Tuesday";2
"2017-02-15";"01385202";"morning peak";1042;"Wednesday";2
"2017-02-16";"01385202";"morning peak";1077;"Thursday";2
"2017-02-17";"01385202";"morning peak";1077;"Friday";2
"2017-02-20";"01385202";"morning peak";1066;"Monday";2
"2017-02-21";"01385202";"morning peak";NA;"Tuesday";2
"2017-02-22";"01385202";"morning peak";NA;"Wednesday";2
"2017-02-23";"01385202";"morning peak";1093;"Thursday";2
"2017-02-24";"01385202";"morning peak";1051;"Friday";2
"2017-02-27";"01385202";"morning peak";NA;"Monday";2
"2017-02-28";"01385202";"morning peak";NA;"Tuesday";2
"2017-03-01";"01385202";"morning peak";NA;"Wednesday";2
"2017-03-02";"01385202";"morning peak";1065;"Thursday";3
"2017-03-03";"01385202";"morning peak";1006;"Friday";3
"2017-03-06";"01385202";"morning peak";1121;"Monday";3
"2017-03-07";"01385202";"morning peak";1147;"Tuesday";3
"2017-03-08";"01385202";"morning peak";1069;"Wednesday";3
"2017-03-09";"01385202";"morning peak";1043;"Thursday";3
"2017-03-10";"01385202";"morning peak";NA;"Friday";3
