"DAY";"SENSOR_ID";"PERIOD";"VOLUME";"WEEKDAY";"MONTH"
"2017-01-02";"01385060";"morning peak";552;"Monday";1
"2017-01-03";"01385060";"morning peak";580;"Tuesday";1
"2017-01-04";"01385060";"morning peak";NA;"Wednesday";1
"2017-01-05";"01385060";"morning peak";608;"Thursday";1
"2017-01-06";"01385060";"morning peak";594;"Friday";1
"2017-01-09";"01385060";"morning peak";610;"Monday";1
"2017-01-10";"01385060";"morning peak";633;"Tuesday";1
"2017-01-11";"01385060";"morning peak";592;"Wednesday";1
"2017-01-12";"01385060";"morning peak";619;"Thursday";1
"2017-01-13";"01385060";"morning peak";606;"Friday";1
"2017-01-16";"01385060";"morning peak";615;"Monday";1
"2017-01-17";"01385060";"morning peak";622;"Tuesday";1
"2017-01-18";"01385060";"morning peak";644;"Wednesday";1
"2017-01-19";"01385060";"morning peak";647;"Thursday";1
"2017-01-20";"01385060";"morning peak";584;"Friday";1
"2017-01-23";"01385060";"morning peak";629;"Monday";1
"2017-01-24";"01385060";"morning peak";664;"Tuesday";1
"2017-01-25";"01385060";"morning peak";677;"Wednesday";1
"2017-01-26";"01385060";"morning peak";663;"Thursday";1
"2017-01-27";"01385060";"morning peak";661;"Friday";1
"2017-01-30";"01385060";"morning peak";675;"Monday";1
"2017-01-31";"01385060";"morning peak";567;"Tuesday";1
"2017-02-01";"01385060";"morning peak";698;"Wednesday";1
"2017-02-02";"01385060";"morning peak";710;"Thursday";2
"2017-02-03";"01385060";"morning peak";668;"Friday";2
"2017-02-06";"01385060";"morning peak";722;"Monday";2
"2017-02-07";"01385060";"morning peak";737;"Tuesday";2
"2017-02-08";"01385060";"morning peak";709;"Wednesday";2
"2017-02-09";"01385060";"morning peak";700;"Thursday";2
"2017-02-10";"01385060";"morning peak";694;"Friday";2
"2017-02-13";"01385060";"morning peak";724;"Monday";2
"2017-02-14";"01385060";"morning peak";659;"Tuesday";2
"2017-02-15";"01385060";"morning peak";NA;"Wednesday";2
"2017-02-16";"01385060";"morning peak";703;"Thursday";2
"2017-02-17";"01385060";"morning peak";607;"Friday";2
"2017-02-20";"01385060";"morning peak";687;"Monday";2
"2017-02-21";"01385060";"morning peak";737;"Tuesday";2
"2017-02-22";"01385060";"morning peak";748;"Wednesday";2
"2017-02-23";"01385060";"morning peak";729;"Thursday";2
"2017-02-24";"01385060";"morning peak";718;"Friday";2
"2017-02-27";"01385060";"morning peak";NA;"Monday";2
"2017-02-28";"01385060";"morning peak";NA;"Tuesday";2
"2017-03-01";"01385060";"morning peak";NA;"Wednesday";2
"2017-03-02";"01385060";"morning peak";718;"Thursday";3
"2017-03-03";"01385060";"morning peak";653;"Friday";3
"2017-03-06";"01385060";"morning peak";695;"Monday";3
"2017-03-07";"01385060";"morning peak";713;"Tuesday";3
"2017-03-08";"01385060";"morning peak";684;"Wednesday";3
"2017-03-09";"01385060";"morning peak";NA;"Thursday";3
"2017-03-10";"01385060";"morning peak";672;"Friday";3
"2017-03-13";"01385060";"morning peak";686;"Monday";3
"2017-03-14";"01385060";"morning peak";690;"Tuesday";3
"2017-03-15";"01385060";"morning peak";669;"Wednesday";3
"2017-03-16";"01385060";"morning peak";677;"Thursday";3
"2017-03-17";"01385060";"morning peak";670;"Friday";3
"2017-03-20";"01385060";"morning peak";691;"Monday";3
"2017-03-21";"01385060";"morning peak";709;"Tuesday";3
"2017-03-22";"01385060";"morning peak";697;"Wednesday";3
"2017-03-23";"01385060";"morning peak";568;"Thursday";3
"2017-03-24";"01385060";"morning peak";632;"Friday";3
"2017-03-27";"01385060";"morning peak";720;"Monday";3
"2017-03-28";"01385060";"morning peak";722;"Tuesday";3
"2017-03-29";"01385060";"morning peak";725;"Wednesday";3
"2017-03-30";"01385060";"morning peak";727;"Thursday";3
"2017-03-31";"01385060";"morning peak";723;"Friday";3
"2017-04-03";"01385060";"morning peak";684;"Monday";4
"2017-04-04";"01385060";"morning peak";706;"Tuesday";4
"2017-04-05";"01385060";"morning peak";625;"Wednesday";4
"2017-04-06";"01385060";"morning peak";726;"Thursday";4
"2017-04-07";"01385060";"morning peak";725;"Friday";4
"2017-04-10";"01385060";"morning peak";759;"Monday";4
"2017-04-11";"01385060";"morning peak";671;"Tuesday";4
"2017-04-12";"01385060";"morning peak";858;"Wednesday";4
"2017-04-13";"01385060";"morning peak";NA;"Thursday";4
"2017-04-14";"01385060";"morning peak";NA;"Friday";4
"2017-04-17";"01385060";"morning peak";765;"Monday";4
"2017-04-18";"01385060";"morning peak";765;"Tuesday";4
"2017-04-19";"01385060";"morning peak";771;"Wednesday";4
"2017-04-20";"01385060";"morning peak";720;"Thursday";4
"2017-04-21";"01385060";"morning peak";NA;"Friday";4
"2017-04-24";"01385060";"morning peak";733;"Monday";4
"2017-04-25";"01385060";"morning peak";743;"Tuesday";4
"2017-04-26";"01385060";"morning peak";740;"Wednesday";4
"2017-04-27";"01385060";"morning peak";762;"Thursday";4
"2017-04-28";"01385060";"morning peak";615;"Friday";4
"2017-05-01";"01385060";"morning peak";NA;"Monday";4
"2017-05-02";"01385060";"morning peak";811;"Tuesday";5
"2017-05-03";"01385060";"morning peak";762;"Wednesday";5
"2017-05-04";"01385060";"morning peak";747;"Thursday";5
"2017-05-05";"01385060";"morning peak";687;"Friday";5
"2017-05-08";"01385060";"morning peak";598;"Monday";5
"2017-05-09";"01385060";"morning peak";770;"Tuesday";5
"2017-05-10";"01385060";"morning peak";753;"Wednesday";5
"2017-05-11";"01385060";"morning peak";744;"Thursday";5
"2017-05-12";"01385060";"morning peak";744;"Friday";5
"2017-05-15";"01385060";"morning peak";870;"Monday";5
"2017-05-16";"01385060";"morning peak";793;"Tuesday";5
"2017-05-17";"01385060";"morning peak";771;"Wednesday";5
"2017-05-18";"01385060";"morning peak";770;"Thursday";5
"2017-05-19";"01385060";"morning peak";758;"Friday";5
"2017-05-22";"01385060";"morning peak";696;"Monday";5
"2017-05-23";"01385060";"morning peak";731;"Tuesday";5
"2017-05-24";"01385060";"morning peak";746;"Wednesday";5
"2017-05-25";"01385060";"morning peak";759;"Thursday";5
"2017-05-26";"01385060";"morning peak";770;"Friday";5
"2017-05-29";"01385060";"morning peak";718;"Monday";5
"2017-05-30";"01385060";"morning peak";NA;"Tuesday";5
"2017-05-31";"01385060";"morning peak";736;"Wednesday";5
"2017-06-01";"01385060";"morning peak";797;"Thursday";5
"2017-06-02";"01385060";"morning peak";760;"Friday";6
"2017-06-05";"01385060";"morning peak";764;"Monday";6
"2017-06-06";"01385060";"morning peak";744;"Tuesday";6
"2017-06-07";"01385060";"morning peak";748;"Wednesday";6
"2017-06-08";"01385060";"morning peak";728;"Thursday";6
"2017-06-09";"01385060";"morning peak";723;"Friday";6
"2017-06-12";"01385060";"morning peak";687;"Monday";6
"2017-06-13";"01385060";"morning peak";737;"Tuesday";6
"2017-06-14";"01385060";"morning peak";719;"Wednesday";6
"2017-06-15";"01385060";"morning peak";NA;"Thursday";6
"2017-06-16";"01385060";"morning peak";685;"Friday";6
"2017-06-19";"01385060";"morning peak";716;"Monday";6
"2017-06-20";"01385060";"morning peak";614;"Tuesday";6
"2017-06-21";"01385060";"morning peak";633;"Wednesday";6
"2017-06-22";"01385060";"morning peak";588;"Thursday";6
"2017-06-23";"01385060";"morning peak";633;"Friday";6
"2017-06-26";"01385060";"morning peak";700;"Monday";6
"2017-06-27";"01385060";"morning peak";691;"Tuesday";6
"2017-06-28";"01385060";"morning peak";684;"Wednesday";6
"2017-06-29";"01385060";"morning peak";654;"Thursday";6
"2017-06-30";"01385060";"morning peak";587;"Friday";6
"2017-07-03";"01385060";"morning peak";602;"Monday";7
"2017-07-04";"01385060";"morning peak";644;"Tuesday";7
"2017-07-05";"01385060";"morning peak";597;"Wednesday";7
"2017-07-06";"01385060";"morning peak";637;"Thursday";7
"2017-07-07";"01385060";"morning peak";615;"Friday";7
"2017-07-10";"01385060";"morning peak";638;"Monday";7
"2017-07-11";"01385060";"morning peak";624;"Tuesday";7
"2017-07-12";"01385060";"morning peak";616;"Wednesday";7
"2017-07-13";"01385060";"morning peak";619;"Thursday";7
"2017-07-14";"01385060";"morning peak";617;"Friday";7
"2017-07-17";"01385060";"morning peak";604;"Monday";7
"2017-07-18";"01385060";"morning peak";613;"Tuesday";7
"2017-07-19";"01385060";"morning peak";638;"Wednesday";7
"2017-07-20";"01385060";"morning peak";NA;"Thursday";7
"2017-07-21";"01385060";"morning peak";NA;"Friday";7
"2017-07-24";"01385060";"morning peak";611;"Monday";7
"2017-07-25";"01385060";"morning peak";578;"Tuesday";7
"2017-07-26";"01385060";"morning peak";NA;"Wednesday";7
"2017-07-27";"01385060";"morning peak";NA;"Thursday";7
"2017-07-28";"01385060";"morning peak";NA;"Friday";7
"2017-07-31";"01385060";"morning peak";623;"Monday";7
"2017-08-01";"01385060";"morning peak";701;"Tuesday";7
"2017-08-02";"01385060";"morning peak";691;"Wednesday";8
"2017-08-03";"01385060";"morning peak";678;"Thursday";8
"2017-08-04";"01385060";"morning peak";673;"Friday";8
"2017-08-07";"01385060";"morning peak";696;"Monday";8
"2017-08-08";"01385060";"morning peak";701;"Tuesday";8
"2017-08-09";"01385060";"morning peak";639;"Wednesday";8
"2017-08-10";"01385060";"morning peak";715;"Thursday";8
"2017-08-11";"01385060";"morning peak";723;"Friday";8
"2017-08-14";"01385060";"morning peak";635;"Monday";8
"2017-08-15";"01385060";"morning peak";NA;"Tuesday";8
"2017-08-16";"01385060";"morning peak";699;"Wednesday";8
"2017-08-17";"01385060";"morning peak";700;"Thursday";8
"2017-08-18";"01385060";"morning peak";697;"Friday";8
"2017-08-21";"01385060";"morning peak";719;"Monday";8
"2017-08-22";"01385060";"morning peak";701;"Tuesday";8
"2017-08-23";"01385060";"morning peak";706;"Wednesday";8
"2017-08-24";"01385060";"morning peak";724;"Thursday";8
"2017-08-25";"01385060";"morning peak";698;"Friday";8
"2017-08-28";"01385060";"morning peak";714;"Monday";8
"2017-08-29";"01385060";"morning peak";686;"Tuesday";8
"2017-08-30";"01385060";"morning peak";701;"Wednesday";8
"2017-08-31";"01385060";"morning peak";734;"Thursday";8
"2017-09-01";"01385060";"morning peak";710;"Friday";8
"2017-09-04";"01385060";"morning peak";696;"Monday";9
"2017-09-05";"01385060";"morning peak";718;"Tuesday";9
"2017-09-06";"01385060";"morning peak";708;"Wednesday";9
"2017-09-07";"01385060";"morning peak";NA;"Thursday";9
"2017-09-08";"01385060";"morning peak";699;"Friday";9
"2017-09-11";"01385060";"morning peak";733;"Monday";9
"2017-09-12";"01385060";"morning peak";738;"Tuesday";9
"2017-09-13";"01385060";"morning peak";734;"Wednesday";9
"2017-09-14";"01385060";"morning peak";741;"Thursday";9
"2017-09-15";"01385060";"morning peak";719;"Friday";9
"2017-09-18";"01385060";"morning peak";720;"Monday";9
"2017-09-19";"01385060";"morning peak";696;"Tuesday";9
"2017-09-20";"01385060";"morning peak";729;"Wednesday";9
"2017-09-21";"01385060";"morning peak";711;"Thursday";9
"2017-09-22";"01385060";"morning peak";714;"Friday";9
